Estimulo;C1;C5
2;340575.021992,24453542.359573,32.555539,36.051923,340575.778709,24453575.954313,32.555541,36.051949;842173.35286,38103043.283548,29.876698,42.659043,842173.631052,38103073.801878,29.87671,42.659072
2;340577.122619,24453697.686798,32.555558,36.052051,340577.222633,24453721.315765,32.555564,36.052072;842175.602026,38103301.771234,29.876745,42.659225,842175.800343,38103340.627178,29.876754,42.659252
0;340578.64502,24453756.907225,32.555564,36.0521,340578.64502,24453756.907225,32.555564,36.0521;842177.691269,38103371.214531,29.876762,42.659282,842177.691269,38103371.214531,29.876762,42.659282
1;340580.152613,24453868.40448,32.555572,36.052189,340580.239037,24453884.434465,32.555574,36.052203;842180.647895,38103566.310408,29.876788,42.659409,842180.770293,38103596.838421,29.87679,42.659428
0;340582.859613,24453952.564561,32.555578,36.05226,340582.859613,24453952.564561,32.555578,36.05226;842184.23397,38103721.557685,29.876801,42.659511,842184.23397,38103721.557685,29.876801,42.659511
2;340584.581353,24454100.496996,32.55559,36.052376,340584.74096,24454122.551046,32.555596,36.052396;842192.417465,38103999.371178,29.876826,42.659687,842192.774797,38104034.842987,29.876838,42.659715
2;340585.421155,24454183.291888,32.555593,36.052434,340586.071706,24454207.18131,32.555594,36.052454;842193.513898,38104060.07189,29.876845,42.659739,842193.78962,38104085.842068,29.876852,42.659759
0;340586.580248,24454278.574674,32.555585,36.052491,340586.580248,24454278.574674,32.555585,36.052491;842194.456249,38104107.787235,29.876858,42.65978,842194.456249,38104107.787235,29.876858,42.65978
1;340588.004153,24454292.535935,32.555584,36.052503,340588.48727,24454332.527632,32.555584,36.052535;842195.006466,38104125.495048,29.87686,42.659793,842195.326424,38104189.706083,29.876867,42.659835
2;340590.029552,24454389.020537,32.555588,36.052586,340590.078229,24454400.974143,32.555592,36.052598;842198.22102,38104272.790003,29.876881,42.6599,842198.47082,38104293.120093,29.876888,42.659917
1;340590.785252,24454474.421358,32.555605,36.052659,340591.311132,24454491.47929,32.555606,36.052672;842199.669744,38104450.234246,29.876911,42.660016,842200.524086,38104474.932536,29.876915,42.660034
0;340591.452974,24454505.173108,32.555608,36.052685,340591.452974,24454505.173108,32.555608,36.052685;842200.619647,38104501.154057,29.87692,42.660054,842200.619647,38104501.154057,29.87692,42.660054
2;340594.347657,24454593.090575,32.555612,36.052759,340594.962123,24454621.008526,32.555613,36.052781;842206.40519,38104665.898313,29.876934,42.660166,842206.870949,38104705.730224,29.876942,42.660194
2;340597.212985,24454706.048561,32.555613,36.052849,340598.10031,24454738.205201,32.55561,36.052868;842210.700654,38104836.099257,29.876956,42.660286,842214.39837,38104883.70138,29.876955,42.660313
0;340598.643269,24454756.904607,32.555614,36.052886,340598.643269,24454756.904607,32.555614,36.052886;842214.670455,38104899.689954,29.876965,42.660334,842214.670455,38104899.689954,29.876965,42.660334
1;340598.794008,24454775.865558,32.555616,36.052903,340599.369316,24454793.907734,32.555623,36.052922;842214.778857,38104937.956703,29.876971,42.66036,842215.337395,38104973.429302,29.876985,42.660392
1;340599.937019,24454859.548438,32.555627,36.05297,340600.521089,24454898.072409,32.555626,36.052998;842216.416052,38105068.699601,29.876999,42.660453,842217.257065,38105129.793208,29.877003,42.66049
2;340600.907624,24454916.081457,32.555626,36.05301,340601.990771,24454934.541967,32.555627,36.053026;842218.460607,38105150.87051,29.877006,42.660506,842220.942638,38105181.589499,29.877011,42.660528
0;340602.403455,24454974.4687,32.555629,36.053052,340602.403455,24454974.4687,32.555629,36.053052;842221.54663,38105220.912866,29.877017,42.660555,842221.54663,38105220.912866,29.877017,42.660555
1;340604.710054,24455047.403825,32.555635,36.053111,340605.320517,24455078.300187,32.555634,36.053135;842224.838597,38105349.719871,29.877033,42.660641,842225.388113,38105389.477076,29.877041,42.660672
2;340605.700909,24455112.436772,32.555633,36.053157,340606.025874,24455124.786024,32.555639,36.053172;842225.87345,38105439.110833,29.877045,42.6607,842226.489148,38105472.79378,29.877054,42.660725
0;340608.313764,24455196.824635,32.555643,36.053229,340608.313764,24455196.824635,32.555643,36.053229;842229.370922,38105579.002218,29.877068,42.660796,842229.370922,38105579.002218,29.877068,42.660796
1;340608.428544,24455218.995565,32.555644,36.053245,340608.709053,24455248.067153,32.555643,36.053264;842229.463684,38105614.184167,29.877073,42.660817,842229.686846,38105672.681433,29.877074,42.660846
2;340609.907123,24455312.043899,32.555645,36.053316,340610.168814,24455333.314784,32.555647,36.053333;842232.377814,38105787.526983,29.877084,42.660921,842232.819597,38105810.794999,29.877091,42.660941
1;340611.083694,24455369.94014,32.555648,36.053358,340612.901211,24455405.866779,32.555648,36.053383;842233.940761,38105837.259676,29.877097,42.660961,842235.571446,38105875.14813,29.877102,42.660988
