Estimulo;C1;C3;C5
2;703671.636231,36512215.54903,28.935805,40.816505,703674.669816,36512262.457826,28.935818,40.816545;1160906.621593,37175624.664832,28.759618,41.291456,1160908.424902,37175635.450791,28.759623,41.291467;1122050.337832,38390804.554386,28.19163,41.320334,1122053.356797,38390826.901551,28.191642,41.320357
2;703674.791827,36512290.146878,28.935824,40.816565,703700.168901,36512725.965694,28.936071,40.817031;1160908.462042,37175643.721286,28.759627,41.291474,1160916.066438,37175818.980896,28.759714,41.291647;1122053.478413,38390842.1996,28.191649,41.320371,1122078.020062,38391317.049382,28.19188,41.320828
2;703713.577156,36512924.78947,28.936065,40.817152,703720.297575,36513004.15261,28.936103,40.817225;1160919.767301,37175894.703002,28.759714,41.291692,1160921.348222,37175917.211853,28.759729,41.291716;1122089.92755,38391541.896313,28.191876,41.320959,1122092.692686,38391606.6401,28.191917,41.321024
0;703726.336018,36513071.386742,28.936101,40.817267,703726.336018,36513071.386742,28.936101,40.817267;1160922.508771,37175924.349463,28.759732,41.291724,1160922.508771,37175924.349463,28.759732,41.291724;1122095.948652,38391620.118278,28.191923,41.321039,1122095.948652,38391620.118278,28.191923,41.321039
2;703726.42326,36513090.953921,28.936106,40.817281,703746.615423,36513661.153763,28.936291,40.817753;1160922.643418,37175937.520492,28.759734,41.291732,1160928.218792,37176138.136343,28.759809,41.291902;1122096.242268,38391647.240069,28.191929,41.321059,1122112.807331,38392212.204131,28.192119,41.321514
1;703751.090554,36513702.261457,28.936289,40.817778,703757.845169,36513783.91768,28.93633,40.817868;1160929.755093,37176155.554344,28.759809,41.291913,1160931.730916,37176183.107609,28.759827,41.291946;1122118.303677,38392258.896556,28.192118,41.321542,1122125.440284,38392351.362095,28.192158,41.321635
1;703757.936904,36513804.142933,28.936334,40.817882,703757.936904,36513804.142933,28.936334,40.817882;1160931.78975,37176192.450583,28.759829,41.291953,1160931.78975,37176192.450583,28.759829,41.291953;1122126.051282,38392376.516973,28.192164,41.321652,1122126.051282,38392376.516973,28.192164,41.321652
1;703783.3777,36514044.617873,28.936372,40.818062,703786.4913,36514063.411032,28.93638,40.818081;1160940.644816,37176297.410531,28.759845,41.292028,1160942.297822,37176308.062622,28.759848,41.292037;1122152.691078,38392655.293521,28.192202,41.321846,1122156.343863,38392678.860102,28.192211,41.321868
0;703795.040697,36514284.136881,28.936506,40.818322,703795.040697,36514284.136881,28.936506,40.818322;1160945.160987,37176375.04665,28.759897,41.292119,1160945.160987,37176375.04665,28.759897,41.292119;1122166.877467,38392901.586336,28.192332,41.3221,1122166.877467,38392901.586336,28.192332,41.3221
1;703795.92497,36514298.522325,28.936514,40.818337,703796.579002,36514434.225641,28.936536,40.818433;1160945.422405,37176384.32563,28.759902,41.292128,1160946.30661,37176411.984464,28.759913,41.292153;1122167.4511,38392918.446345,28.192344,41.322119,1122168.275778,38393035.22216,28.192367,41.322201
2;703796.588578,36514444.198265,28.936538,40.81844,703818.214904,36514991.817902,28.936861,40.819005;1160946.315924,37176419.123468,28.759914,41.292157,1160951.915416,37176618.967026,28.760031,41.292359;1122168.397062,38393048.654117,28.19237,41.322211,1122191.181004,38393627.676649,28.192674,41.322762
2;703837.199947,36515351.146909,28.936814,40.819179,703838.312878,36515424.474475,28.936857,40.819254;1160960.297621,37176744.509659,28.760016,41.292421,1160960.819336,37176771.59658,28.760033,41.292448;1122215.047388,38394022.258201,28.192623,41.322949,1122216.076191,38394087.860505,28.192666,41.323019
1;703838.597767,36515488.601246,28.936873,40.819303,703853.572273,36515637.435506,28.93685,40.819374;1160961.026967,37176792.393243,28.760039,41.292465,1160970.603755,37176842.962173,28.76003,41.292493;1122216.825297,38394150.846948,28.192679,41.323063,1122239.135463,38394307.409346,28.192655,41.323142
0;703864.308376,36515702.66433,28.936852,40.819421,703864.308376,36515702.66433,28.936852,40.819421;1160974.696318,37176896.983969,28.760026,41.292521,1160974.696318,37176896.983969,28.760026,41.292521;1122249.583775,38394407.01906,28.192652,41.323199,1122249.583775,38394407.01906,28.192652,41.323199
1;703864.631778,36515716.472975,28.936859,40.819435,703865.33562,36515911.770104,28.936909,40.819585;1160975.040714,37176905.010625,28.76003,41.292529,1160977.440389,37177036.093211,28.760045,41.292615;1122249.957572,38394426.928928,28.192662,41.323218,1122252.639662,38394707.255685,28.192706,41.323404
1;703865.344943,36515932.605711,28.936915,40.819601,703866.825694,36516002.80465,28.936946,40.819667;1160977.490646,37177044.501221,28.760049,41.292622,1160978.151279,37177067.855515,28.760062,41.292646;1122252.801965,38394729.545432,28.192713,41.323423,1122253.960492,38394795.01626,28.192744,41.323484
1;703866.877577,36516026.851243,28.936951,40.819684,703871.303757,36516258.186218,28.937032,40.819881;1160978.238474,37177079.874135,28.760065,41.292655,1160978.993236,37177173.305579,28.760095,41.292729;1122254.268903,38394821.404208,28.192752,41.323503,1122257.886753,38395073.209006,28.192829,41.323698
