Estimulo;C2;C4
2;1058160.708442,38389341.575996,28.607951,41.714941,1058177.436952,38389734.905767,28.607989,41.715192;819546.702658,32707228.670141,30.235608,39.786903,819551.659973,32707312.142665,30.235613,39.786961
0;1058275.217696,38395024.723546,28.61002,41.719729,1058275.217696,38395024.723546,28.61002,41.719729;819572.359144,32708335.492053,30.236137,39.788013,819572.359144,32708335.492053,30.236137,39.788013
1;1058287.537948,38395111.421051,28.610023,41.719785,1058308.495826,38395799.527771,28.609926,41.720071;819575.255526,32708360.882035,30.236136,39.788029,819577.29685,32708519.196413,30.236111,39.788099
2;1058308.774329,38395817.101476,28.60993,41.720083,1058323.529269,38396540.191114,28.610213,41.720713;819577.373992,32708526.282188,30.236112,39.788104,819579.3025,32708668.940736,30.236191,39.788254
1;1058360.065318,38397078.954677,28.610179,41.721021,1058364.329647,38397510.506019,28.610421,41.721447;819585.695975,32708785.389202,30.23618,39.788326,819586.58242,32708876.745986,30.236242,39.78843
1;1058375.368188,38397560.541148,28.610424,41.721482,1058375.566906,38397566.753238,28.610426,41.721488;819590.379623,32708894.313619,30.236241,39.788443,819590.64059,32708896.951655,30.236242,39.788445
0;1058377.516591,38397659.479168,28.610464,41.721574,1058377.516591,38397659.479168,28.610464,41.721574;819591.618677,32708921.026213,30.236251,39.788469,819591.618677,32708921.026213,30.236251,39.788469
2;1058378.682972,38397705.804507,28.610486,41.721619,1058441.968275,38399899.32632,28.611408,41.723548;819591.95047,32708931.951522,30.236257,39.788482,819607.194539,32709383.052924,30.236497,39.788949
2;1058454.577231,38400436.352413,28.611334,41.723781,1058531.632364,38403847.51182,28.612242,41.72644;819609.498895,32709480.410324,30.236479,39.788996,819626.275159,32710167.810135,30.236718,39.789622
1;1058567.611741,38404048.370756,28.612238,41.726574,1058597.530298,38404223.56016,28.61228,41.726727;819635.73999,32710202.221087,30.236719,39.789652,819640.308847,32710248.884664,30.23673,39.789692
0;1058606.241309,38404379.867231,28.612285,41.726827,1058606.241309,38404379.867231,28.612285,41.726827;819641.492791,32710282.222094,30.236732,39.789716,819641.492791,32710282.222094,30.236732,39.789716
2;1058606.307826,38404396.589365,28.612294,41.726846,1058611.234636,38404544.141656,28.612346,41.72697;819641.519902,32710288.781637,30.236733,39.789722,819644.002592,32710320.852751,30.236746,39.789753
2;1058611.924568,38404562.24607,28.612357,41.726993,1058634.046105,38406091.66238,28.612916,41.728299;819644.263803,32710327.100295,30.236749,39.78976,819647.889684,32710624.692316,30.236902,39.790073
