Estimulo;C2;C3;C4
2;1058160.708442,38389341.575996,28.607951,41.714941,1058177.436952,38389734.905767,28.607989,41.715192;1161029.315733,37178057.314475,28.76022,41.293328,1161034.48805,37178145.936936,28.760228,41.293387;819546.702658,32707228.670141,30.235608,39.786903,819551.659973,32707312.142665,30.235613,39.786961
0;1058275.217696,38395024.723546,28.61002,41.719729,1058275.217696,38395024.723546,28.61002,41.719729;1161056.962866,37179212.608376,28.760785,41.294423,1161056.962866,37179212.608376,28.760785,41.294423;819572.359144,32708335.492053,30.236137,39.788013,819572.359144,32708335.492053,30.236137,39.788013
1;1058287.537948,38395111.421051,28.610023,41.719785,1058308.495826,38395799.527771,28.609926,41.720071;1161059.982976,37179237.114474,28.760786,41.294439,1161062.015213,37179393.862361,28.760769,41.294506;819575.255526,32708360.882035,30.236136,39.788029,819577.29685,32708519.196413,30.236111,39.788099
2;1058308.774329,38395817.101476,28.60993,41.720083,1058323.529269,38396540.191114,28.610213,41.720713;1161062.088744,37179401.219845,28.76077,41.294511,1161064.28917,37179550.838083,28.760854,41.29466;819577.373992,32708526.282188,30.236112,39.788104,819579.3025,32708668.940736,30.236191,39.788254
1;1058360.065318,38397078.954677,28.610179,41.721021,1058364.329647,38397510.506019,28.610421,41.721447;1161071.441395,37179666.909206,28.76085,41.294731,1161072.545887,37179761.379629,28.760917,41.294835;819585.695975,32708785.389202,30.23618,39.788326,819586.58242,32708876.745986,30.236242,39.78843
1;1058375.368188,38397560.541148,28.610424,41.721482,1058375.566906,38397566.753238,28.610426,41.721488;1161076.482591,37179779.02407,28.760917,41.294848,1161076.708708,37179781.901733,28.760918,41.29485;819590.379623,32708894.313619,30.236241,39.788443,819590.64059,32708896.951655,30.236242,39.788445
0;1058377.516591,38397659.479168,28.610464,41.721574,1058377.516591,38397659.479168,28.610464,41.721574;1161077.660377,37179807.311572,28.760928,41.294874,1161077.660377,37179807.311572,28.760928,41.294874;819591.618677,32708921.026213,30.236251,39.788469,819591.618677,32708921.026213,30.236251,39.788469
2;1058378.682972,38397705.804507,28.610486,41.721619,1058441.968275,38399899.32632,28.611408,41.723548;1161077.96355,37179820.699055,28.760935,41.294887,1161094.229151,37180281.237423,28.761189,41.295343;819591.95047,32708931.951522,30.236257,39.788482,819607.194539,32709383.052924,30.236497,39.788949
2;1058454.577231,38400436.352413,28.611334,41.723781,1058531.632364,38403847.51182,28.612242,41.72644;1161096.709075,37180389.476859,28.761175,41.295392,1161113.862875,37181100.569049,28.761437,41.29601;819609.498895,32709480.410324,30.236479,39.788996,819626.275159,32710167.810135,30.236718,39.789622
1;1058567.611741,38404048.370756,28.612238,41.726574,1058597.530298,38404223.56016,28.61228,41.726727;1161124.821555,37181136.790119,28.761439,41.29604,1161129.243451,37181180.971158,28.761453,41.296078;819635.73999,32710202.221087,30.236719,39.789652,819640.308847,32710248.884664,30.23673,39.789692
0;1058606.241309,38404379.867231,28.612285,41.726827,1058606.241309,38404379.867231,28.612285,41.726827;1161130.582101,37181215.315464,28.761458,41.296102,1161130.582101,37181215.315464,28.761458,41.296102;819641.492791,32710282.222094,30.236732,39.789716,819641.492791,32710282.222094,30.236732,39.789716
2;1058606.307826,38404396.589365,28.612294,41.726846,1058611.234636,38404544.141656,28.612346,41.72697;1161130.615445,37181221.780702,28.76146,41.296108,1161133.349758,37181253.894394,28.761473,41.296138;819641.519902,32710288.781637,30.236733,39.789722,819644.002592,32710320.852751,30.236746,39.789753
2;1058611.924568,38404562.24607,28.612357,41.726993,1058634.046105,38406091.66238,28.612916,41.728299;1161133.689148,37181261.011057,28.761477,41.296146,1161137.244963,37181570.203187,28.761642,41.296453;819644.263803,32710327.100295,30.236749,39.78976,819647.889684,32710624.692316,30.236902,39.790073
1;1058643.826718,38406525.74705,28.61289,41.728513,1058644.752842,38406761.324222,28.613004,41.728732;1161139.531214,37181660.333566,28.761639,41.2965,1161139.759317,37181708.079675,28.76167,41.296551;819649.768736,32710702.093561,30.236897,39.790116,819649.976601,32710747.426631,30.236927,39.790166
1;1058644.937195,38406798.615846,28.613017,41.728763,1058644.997585,38406840.308741,28.613028,41.728793;1161140.104124,37181721.374516,28.761674,41.296562,1161140.148024,37181737.003862,28.761677,41.296572;819650.252664,32710759.506196,30.23693,39.790176,819650.303042,32710773.080485,30.236932,39.790187
0;1058645.079373,38406855.90908,28.613041,41.728816,1058645.079373,38406855.90908,28.613041,41.728816;1161140.208328,37181742.833538,28.761681,41.29658,1161140.208328,37181742.833538,28.761681,41.29658;819650.399287,32710778.713437,30.236936,39.790193,819650.399287,32710778.713437,30.236936,39.790193
2;1058645.148131,38406870.954644,28.613046,41.728829,1058645.247515,38406901.546211,28.613055,41.728853;1161140.246934,37181748.363862,28.761682,41.296584,1161140.262674,37181757.360473,28.761685,41.296591;819650.431343,32710783.623325,30.236936,39.790197,819650.664417,32710794.257058,30.236939,39.790205
1;1058647.011916,38406949.424017,28.613064,41.728885,1058648.66986,38406973.031226,28.61308,41.728916;1161140.488819,37181765.797061,28.761689,41.296598,1161141.615277,37181773.085521,28.761695,41.296608;819650.898655,32710804.529712,30.236942,39.790214,819652.169422,32710812.404299,30.236946,39.790224
1;1058649.029113,38406980.966509,28.613083,41.728922,1058649.691905,38407011.947871,28.613093,41.728946;1161141.757407,37181775.460304,28.761696,41.29661,1161142.08824,37181786.164761,28.761699,41.296619;819652.392125,32710815.488179,30.236947,39.790227,819652.791474,32710825.562375,30.23695,39.790235
1;1058650.131958,38407040.33266,28.613102,41.728967,1058683.52234,38407624.624822,28.613039,41.729236;1161142.181416,37181794.370663,28.761702,41.296625,1161148.851549,37181927.714971,28.76169,41.296688;819652.892662,32710833.929551,30.236952,39.790241,819659.153581,32710958.305,30.236935,39.790303
2;1058708.634109,38408449.11009,28.613387,41.729938,1058708.77559,38408476.909189,28.6134,41.729965;1161153.990408,37182101.799994,28.761783,41.296852,1161154.072129,37182110.808318,28.761787,41.29686;819664.103287,32711128.212518,30.237023,39.790469,819664.171667,32711136.793203,30.237027,39.790478
0;1058724.142624,38409038.397324,28.613647,41.730499,1058724.142624,38409038.397324,28.613647,41.730499;1161157.083318,37182232.086721,28.761858,41.296988,1161157.083318,37182232.086721,28.761858,41.296988;819666.955079,32711257.598551,30.237091,39.790607,819666.955079,32711257.598551,30.237091,39.790607
2;1058732.235298,38409177.08747,28.613635,41.73057,1058735.436908,38409313.859065,28.613693,41.730691;1161159.11933,37182260.85844,28.761857,41.297004,1161160.336859,37182295.87201,28.761872,41.297036;819668.65125,32711282.14038,30.237089,39.790623,819669.781282,32711319.174804,30.237102,39.790656
1;1058735.798244,38409338.500089,28.613707,41.730717,1058737.53661,38409386.482776,28.613722,41.730753;1161160.487048,37182302.258652,28.761877,41.297044,1161161.253568,37182315.548568,28.761881,41.297054;819670.000573,32711324.196278,30.237107,39.790663,819670.760471,32711335.293176,30.237111,39.790672
1;1058737.992196,38409420.076671,28.613735,41.730781,1058738.1695,38409451.04797,28.613746,41.730806;1161161.342691,37182325.030241,28.761886,41.297063,1161161.466826,37182333.330644,28.76189,41.29707;819670.845918,32711345.340386,30.237115,39.790681,819670.981837,32711353.827412,30.237118,39.790689
2;1058738.906669,38409460.417353,28.613746,41.730811,1058739.099715,38409483.275694,28.613755,41.730831;1161162.0398,37182338.149199,28.76189,41.297073,1161162.279639,37182346.113367,28.761892,41.297079;819671.52886,32711358.118817,30.237117,39.790691,819671.801244,32711366.209959,30.237119,39.790698
0;1058739.823298,38409523.799717,28.613778,41.730873,1058739.823298,38409523.799717,28.613778,41.730873;1161162.648234,37182361.17088,28.761899,41.297093,1161162.648234,37182361.17088,28.761899,41.297093;819672.122338,32711382.331339,30.237124,39.790712,819672.122338,32711382.331339,30.237124,39.790712
1;1058741.052019,38409565.272242,28.613786,41.730901,1058741.052019,38409565.272242,28.613786,41.730901;1161163.433131,37182372.756141,28.761901,41.297101,1161163.433131,37182372.756141,28.761901,41.297101;819672.900847,32711392.44913,30.237126,39.79072,819672.900847,32711392.44913,30.237126,39.79072
2;1679389.32936,37781020.472082,28.026579,41.218965,1679389.463656,37781085.169209,28.026596,41.21901;1303601.806192,35761921.222461,28.595158,40.361545,1303601.929372,35761937.460689,28.595164,40.361557;1095126.906605,34521884.038019,29.605174,40.518161,1095127.109628,34521899.390069,29.605178,40.518173
0;1679435.670533,37782330.843735,28.027097,41.220145,1679435.670533,37782330.843735,28.027097,41.220145;1303611.769506,35762191.700406,28.595301,40.361822,1303611.769506,35762191.700406,28.595301,40.361822;1095135.124241,34522143.632826,29.605299,40.518427,1095135.124241,34522143.632826,29.605299,40.518427
2;1679442.306272,37782360.649125,28.027099,41.220167,1679457.536509,37783674.991135,28.027151,41.220952;1303613.246042,35762199.259093,28.595301,40.361828,1303617.043434,35762485.351063,28.595321,40.362011;1095136.497332,34522150.704617,29.605299,40.518432,1095140.062271,34522416.394209,29.605311,40.518603
1;1679482.642866,37783777.67027,28.027151,41.221026,1679509.173693,37784433.205763,28.027159,41.221383;1303621.943499,35762509.220114,28.595323,40.36203,1303626.188917,35762662.952565,28.595327,40.362117;1095144.312258,34522440.49136,29.605312,40.518621,1095148.303432,34522591.343966,29.605312,40.518706
1;1679509.513118,37784449.620747,28.027163,41.221395,1679511.848947,37784528.869154,28.027254,41.221524;1303626.251796,35762669.768023,28.595328,40.362122,1303626.516396,35762687.408923,28.595353,40.362153;1095148.375674,34522599.932863,29.605313,40.518711,1095148.662294,34522617.5448,29.605334,40.518742
1;1679512.524488,37784593.411636,28.027281,41.221577,1679512.934834,37784666.443623,28.027319,41.221645;1303626.953443,35762705.744841,28.59536,40.362169,1303627.092359,35762726.577514,28.595371,40.362188;1095149.033334,34522635.727799,29.60534,40.518757,1095149.16883,34522654.184602,29.605349,40.518775
0;1679514.909171,37784678.987715,28.027324,41.221656,1679514.909171,37784678.987715,28.027324,41.221656;1303628.286675,35762731.187158,28.595372,40.362193,1303628.286675,35762731.187158,28.595372,40.362193;1095150.157931,34522658.404992,29.60535,40.518779,1095150.157931,34522658.404992,29.60535,40.518779
1;1679515.156746,37784700.214299,28.027344,41.221684,1679515.77109,37784753.699601,28.02736,41.221723;1303628.401341,35762738.836132,28.595377,40.362201,1303628.8303,35762754.344493,28.595381,40.362213;1095150.301569,34522665.404043,29.605354,40.518786,1095150.752642,34522678.232171,29.605358,40.518797
2;1679516.290039,37784784.56912,28.027387,41.221765,1679520.842077,37784814.692177,28.027425,41.221813;1303629.002983,35762761.302029,28.595389,40.362224,1303630.95238,35762770.664449,28.5954,40.362239;1095151.01326,34522685.102015,29.605365,40.518808,1095153.078711,34522694.274253,29.605374,40.518822
2;1679521.196798,37784820.325702,28.02743,41.221819,1679633.509322,37786789.318355,28.028342,41.2236;1303631.061147,35762773.02048,28.595402,40.362241,1303655.30877,35763189.632001,28.595645,40.362661;1095153.141113,34522699.021302,29.605375,40.518825,1095177.029078,34523102.00179,29.605592,40.519231
1;1679653.381559,37786883.832061,28.028347,41.223673,1679660.130379,37787027.689209,28.028534,41.223934;1303659.095268,35763216.892381,28.595648,40.36268,1303660.471167,35763247.509847,28.595699,40.362747;1095180.894932,34523137.50492,29.605592,40.519253,1095182.264114,34523165.041122,29.605638,40.519316
0;1679675.486329,37787120.869753,28.028518,41.223985,1679675.486329,37787120.869753,28.028518,41.223985;1303662.890968,35763266.446524,28.595696,40.362758,1303662.890968,35763266.446524,28.595696,40.362758;1095184.357419,34523184.550774,29.605635,40.519328,1095184.357419,34523184.550774,29.605635,40.519328
2;1679675.742113,37787127.313761,28.028535,41.224007,1679676.368121,37787172.920302,28.028543,41.224037;1303663.081665,35763268.430095,28.595701,40.362765,1303663.461995,35763283.594566,28.595704,40.362775;1095184.503298,34523186.957015,29.605639,40.519334,1095184.840834,34523204.350482,29.60564,40.519344
2;1679678.010744,37787213.215697,28.028551,41.224064,1679743.964426,37789579.44052,28.029589,41.226198;1303663.929536,35763294.500269,28.595707,40.362783,1303680.682007,35763790.573701,28.595992,40.363294;1095185.434394,34523215.295167,29.605643,40.519352,1095201.030701,34523688.299342,29.605896,40.519843
1;1679745.783657,37789665.717778,28.029597,41.226249,1679752.179523,37789965.382521,28.029773,41.226552;1303681.189273,35763810.443528,28.595995,40.363306,1303682.490843,35763872.114166,28.596042,40.363378;1095201.410576,34523704.265299,29.605899,40.519854,1095202.601264,34523765.667269,29.605939,40.519923
2;1679753.373422,37789994.273741,28.029784,41.226576,1679832.386533,37791113.852206,28.030633,41.22795;1303683.125618,35763878.961097,28.596045,40.363385,1303700.890232,35764130.468249,28.596256,40.363715;1095203.028218,34523773.568282,29.605942,40.51993,1095219.43886,34524017.066258,29.606129,40.520248
1;1679901.987475,37791382.119763,28.030596,41.228108,1679903.081131,37791414.818197,28.030617,41.228146;1303716.417978,35764188.672848,28.596246,40.363751,1303717.055605,35764199.581144,28.596252,40.363762;1095234.403727,34524072.471211,29.606117,40.520281,1095235.067877,34524083.137749,29.606121,40.520292
0;1679927.824515,37791529.398616,28.030604,41.228211,1679927.824515,37791529.398616,28.030604,41.228211;1303723.613476,35764227.745036,28.596249,40.36378,1303723.613476,35764227.745036,28.596249,40.36378;1095241.11741,34524110.025074,29.606118,40.520308,1095241.11741,34524110.025074,29.606118,40.520308
1;1679928.652812,37791558.845228,28.030613,41.228234,1679930.285323,37791629.651842,28.030659,41.228312;1303724.02888,35764236.236707,28.596253,40.363787,1303725.222385,35764254.086652,28.596265,40.363808;1095241.612289,34524117.791271,29.606121,40.520315,1095242.716784,34524135.610531,29.606132,40.520335
1;1679930.957894,37791640.28661,28.030665,41.228322,1679947.226795,37791905.720333,28.030792,41.228575;1303725.635772,35764259.453928,28.596267,40.363812,1303727.170242,35764323.411891,28.596299,40.363874;1095243.093731,34524140.504656,29.606133,40.520338,1095244.37985,34524205.131802,29.606162,40.5204
1;1679947.314387,37791960.17301,28.030803,41.228613,1679991.849196,37792535.598017,28.030954,41.229048;1303727.29519,35764344.43434,28.596302,40.363887,1303738.318211,35764468.765188,28.596342,40.363989;1095244.501231,34524226.565702,29.606163,40.520413,1095254.611965,34524343.861551,29.606198,40.52051
