Start_time;End_time;C1;C2;C3;C4;C5
2025-05-15 15:41:43.239908;2025-05-15 15:41:44.288705;340726.13268,24458889.895515,32.555778,36.0561;831173.702975,35187376.394711,29.794788,40.855321;412032.580602,24496993.982944,33.008643,36.508759;934967.570204,33579854.049463,30.685594,40.855556;842368.130216,38111081.829287,29.877784,42.664504
2025-05-15 15:41:44.288705;2025-05-15 15:41:45.352583;340726.216005,24458926.939283,32.555786,36.05613;831174.579339,35187593.049681,29.794828,40.855463;412034.008698,24497280.509135,33.008662,36.508959;934969.101343,33580175.002236,30.685639,40.855761;842368.47408,38111153.954264,29.877795,42.664549
2025-05-15 15:41:45.353581;2025-05-15 15:41:46.426352;340726.529966,24458952.04783,32.555788,36.056151;831176.943277,35187691.93504,29.794853,40.855548;412036.275476,24497414.843776,33.008671,36.50908;934972.093861,33580325.440117,30.685665,40.855887;842368.932705,38111190.558938,29.877801,42.664576
2025-05-15 15:41:46.428349;2025-05-15 15:41:47.488667;340726.854985,24458970.894536,32.555794,36.056171;831177.603136,35187809.61723,29.794881,40.855639;412037.049554,24497570.347016,33.008687,36.509206;934972.814669,33580503.614035,30.685697,40.856018;842369.157027,38111227.198993,29.877809,42.664603
2025-05-15 15:41:47.489668;2025-05-15 15:41:48.539516;340727.216713,24458990.939441,32.555793,36.056184;831178.193533,35187898.862651,29.794889,40.855695;412037.786501,24497689.834393,33.008683,36.509287;934973.49218,33580646.242291,30.685702,40.856105;842369.906081,38111258.444338,29.87781,42.664621
2025-05-15 15:41:48.539516;2025-05-15 15:41:49.601060;340727.34962,24459008.490729,32.555794,36.0562;831178.758533,35187987.131122,29.794906,40.855761;412038.462112,24497807.964777,33.008687,36.509378;934974.436135,33580783.188531,30.685719,40.856201;842370.183469,38111300.845358,29.877813,42.664646
2025-05-15 15:41:49.602696;2025-05-15 15:41:50.661316;340729.971384,24459042.857898,32.555791,36.056226;831185.56541,35188124.861273,29.79492,40.855858;412046.018427,24497979.702469,33.008682,36.50951;934983.261109,33580981.383817,30.685734,40.856343;842374.10478,38111349.059854,29.877816,42.664678
2025-05-15 15:41:50.662314;2025-05-15 15:41:51.720035;340730.42582,24459071.365394,32.555797,36.056252;831186.034677,35188282.638935,29.79495,40.855974;412046.49185,24498198.137366,33.008688,36.509677;934983.722266,33581238.509116,30.685763,40.856521;842374.455592,38111396.489223,29.877825,42.664713
2025-05-15 15:41:51.723029;2025-05-15 15:41:52.766557;340731.18377,24459099.821447,32.555796,36.056272;831187.818193,35188404.216729,29.794963,40.856056;412048.39123,24498355.156623,33.008686,36.509794;934985.810006,33581407.923287,30.685778,40.856637;842375.658729,38111439.425174,29.877828,42.66474
2025-05-15 15:41:52.780485;2025-05-15 15:41:53.844492;340731.341229,24459127.815981,32.555794,36.056288;831188.92746,35188472.899519,29.794971,40.856101;412049.785782,24498434.970213,33.008686,36.509854;934987.185184,33581499.268024,30.685788,40.856701;842375.83793,38111461.290274,29.877831,42.664756
2025-05-15 15:41:53.845536;2025-05-15 15:41:54.888540;340731.533009,24459147.760485,32.5558,36.056309;831189.080417,35188583.196031,29.795012,40.856202;412049.898849,24498581.807964,33.008718,36.509996;934987.417922,33581666.827372,30.68584,40.856852;842375.928632,38111498.747279,29.877844,42.664789
2025-05-15 15:41:54.889537;2025-05-15 15:41:55.958024;340731.952539,24459174.312222,32.555798,36.056326;831189.589738,35188723.661182,29.795012,40.856275;412050.310073,24498776.282013,33.008694,36.510104;934987.752743,33581894.426559,30.685832,40.856966;842376.133374,38111553.531075,29.877841,42.664814
2025-05-15 15:41:55.959022;2025-05-15 15:41:57.025407;340732.143886,24459203.286297,32.555799,36.056347;831190.7287,35188890.158676,29.79503,40.856376;412051.691824,24498996.773237,33.008693,36.51025;934989.200062,33582147.816299,30.685853,40.857119;842376.465978,38111607.395738,29.877848,42.664846
2025-05-15 15:41:57.026404;2025-05-15 15:41:58.079440;340733.103946,24459214.858628,32.5558,36.056357;831193.6284,35188941.732268,29.795039,40.856418;412055.802172,24499064.841647,33.008693,36.510308;934992.789702,33582221.642056,30.685863,40.857179;842377.712546,38111627.083382,29.87785,42.664861
2025-05-15 15:41:58.080440;2025-05-15 15:41:59.142731;340733.584809,24459242.673867,32.5558,36.056376;831193.922841,35189078.07653,29.795054,40.856502;412056.16731,24499241.322753,33.008691,36.510428;934993.197268,33582421.924961,30.685878,40.857305;842378.127565,38111675.124005,29.877855,42.66489
2025-05-15 15:41:59.144732;2025-05-15 15:42:00.201247;340733.999831,24459269.959893,32.555804,36.056398;831195.688404,35189192.862692,29.795083,40.856593;412058.380905,24499391.356685,33.008709,36.510557;934995.570069,33582585.645762,30.685915,40.857439;842379.220205,38111707.960544,29.877865,42.664917
