Estimulo;C2;C3;C4
0;10779242.88334,360681886.361006,27.278784,124.857292,10779242.88334,360681886.361006,27.278784,124.857292;14963958.937694,407562500.985648,27.151943,133.117376,14963958.937694,407562500.985648,27.151943,133.117376;16656837.01287,365428369.024739,26.704704,125.597615,16656837.01287,365428369.024739,26.704704,125.597615
0;10779323.935008,360683025.260437,27.278775,124.857492,10779323.935008,360683025.260437,27.278775,124.857492;14964509.134944,407570201.878371,27.151931,133.118568,14964509.134944,407570201.878371,27.151931,133.118568;16667020.920341,365532921.339376,26.70315,125.613066,16667020.920341,365532921.339376,26.70315,125.613066
0;10779482.006368,360683965.955125,27.278752,124.857629,10779482.006368,360683965.955125,27.278752,124.857629;14964650.666806,407572562.027747,27.151934,133.118934,14964650.666806,407572562.027747,27.151934,133.118934;16667729.549948,365539624.005422,26.703175,125.614452,16667729.549948,365539624.005422,26.703175,125.614452
0;10779482.146429,360683971.092998,27.278753,124.857631,10779482.146429,360683971.092998,27.278753,124.857631;14964650.773185,407572576.888341,27.151934,133.118937,14964650.773185,407572576.888341,27.151934,133.118937;16667729.616522,365539642.705403,26.703177,125.614459,16667729.616522,365539642.705403,26.703177,125.614459
0;10779482.224503,360683975.916106,27.278753,124.857633,10779482.224503,360683975.916106,27.278753,124.857633;14964650.814836,407572583.126009,27.151934,133.118939,14964650.814836,407572583.126009,27.151934,133.118939;16667729.699409,365539675.103909,26.703179,125.614469,16667729.699409,365539675.103909,26.703179,125.614469
0;10779482.384339,360683980.357571,27.278754,124.857634,10779482.384339,360683980.357571,27.278754,124.857634;14964650.861506,407572587.975654,27.151935,133.118941,14964650.861506,407572587.975654,27.151935,133.118941;16667730.100135,365539703.912746,26.703183,125.614482,16667730.100135,365539703.912746,26.703183,125.614482
0;10779482.547294,360683984.84202,27.278754,124.857635,10779482.547294,360683984.84202,27.278754,124.857635;14964650.8807,407572589.894005,27.151935,133.118941,14964650.8807,407572589.894005,27.151935,133.118941;16667730.206668,365539708.229906,26.703184,125.614484,16667730.206668,365539708.229906,26.703184,125.614484
0;10779482.922907,360683991.634253,27.278754,124.857637,10779482.922907,360683991.634253,27.278754,124.857637;14964650.934533,407572595.436798,27.151935,133.118942,14964650.934533,407572595.436798,27.151935,133.118942;16667730.370192,365539737.267385,26.703186,125.614493,16667730.370192,365539737.267385,26.703186,125.614493
0;10779483.070298,360683999.535935,27.278754,124.857639,10779483.070298,360683999.535935,27.278754,124.857639;14964651.281319,407572621.290197,27.151935,133.118946,14964651.281319,407572621.290197,27.151935,133.118946;16667730.533996,365539758.711679,26.703188,125.614502,16667730.533996,365539758.711679,26.703188,125.614502
0;10779483.266734,360684003.144291,27.278754,124.85764,10779483.266734,360684003.144291,27.278754,124.85764;14964651.360254,407572629.078439,27.151935,133.118948,14964651.360254,407572629.078439,27.151935,133.118948;16667730.608275,365539783.289089,26.703191,125.614513,16667730.608275,365539783.289089,26.703191,125.614513
0;10779483.35669,360684008.922529,27.278755,124.857641,10779483.35669,360684008.922529,27.278755,124.857641;14964651.481249,407572634.656681,27.151935,133.118949,14964651.481249,407572634.656681,27.151935,133.118949;16667730.713128,365539810.994771,26.703193,125.614522,16667730.713128,365539810.994771,26.703193,125.614522
