Start_time;End_time;C1;C2;C3;C4;C5
2025-04-08 15:52:07.579587;2025-04-08 15:52:08.630760;824025.965922,31565936.725222,31.534794,40.458776;165408.538688,11909614.672048,34.931343,26.783184;173749.188378,12018500.469642,34.871971,26.867041;775129.324061,21208373.875444,33.495213,35.103899;251251.349715,11191481.378133,34.463789,25.77096
2025-04-08 15:52:08.631684;2025-04-08 15:52:09.699570;824026.965097,31565945.861708,31.534793,40.458781;165409.244169,11909622.46859,34.931339,26.783191;173749.981797,12018509.22864,34.871966,26.867049;775130.08887,21208383.208766,33.49521,35.103905;251252.110803,11191491.24465,34.463784,25.770969
2025-04-08 15:52:09.699570;2025-04-08 15:52:10.767084;824027.517542,31565952.130534,31.534792,40.458785;165409.666443,11909630.581224,34.931335,26.783198;173750.665998,12018514.952288,34.871963,26.867054;775130.948714,21208388.005858,33.495209,35.103908;251252.964279,11191496.423457,34.463782,25.770975
2025-04-08 15:52:10.767084;2025-04-08 15:52:11.824101;824027.524105,31565953.440275,31.534793,40.458786;165409.67228,11909632.537433,34.931336,26.7832;173750.678031,12018516.285571,34.871963,26.867056;775130.959769,21208389.14418,33.495209,35.103909;251252.995987,11191497.297273,34.463782,25.770976
2025-04-08 15:52:11.825098;2025-04-08 15:52:12.881029;824027.529116,31565954.673678,31.534793,40.458787;165409.731869,11909633.822635,34.931336,26.783202;173750.699105,12018517.256874,34.871963,26.867057;775130.967332,21208389.961859,33.495209,35.10391;251253.001826,11191498.41923,34.463782,25.770977
2025-04-08 15:52:12.882027;2025-04-08 15:52:13.940473;824027.539031,31565956.363738,31.534794,40.458788;165409.773895,11909635.776944,34.931337,26.783204;173750.725752,12018518.573019,34.871963,26.867058;775130.996399,21208391.660712,33.495209,35.103911;251253.03324,11191501.193147,34.463781,25.77098
2025-04-08 15:52:13.941471;2025-04-08 15:52:14.989492;824028.102378,31565958.72634,31.534794,40.458791;165410.707104,11909639.080895,34.931335,26.783208;173751.411053,12018523.352832,34.87196,26.867062;775131.447453,21208398.198272,33.495207,35.103915;251253.784436,11191510.853084,34.463775,25.770987
2025-04-08 15:52:14.990490;2025-04-08 15:52:16.051563;824028.337392,31565962.064736,31.534794,40.458793;165410.936395,11909642.485455,34.931335,26.783211;173751.738654,12018525.701913,34.87196,26.867065;775131.710176,21208400.803972,33.495207,35.103917;251254.075293,11191513.784354,34.463774,25.77099
2025-04-08 15:52:16.052560;2025-04-08 15:52:17.109949;824028.385042,31565964.890425,31.534794,40.458794;165411.105248,11909645.538067,34.931334,26.783214;173751.807796,12018528.43331,34.871959,26.867067;775131.795385,21208403.372242,33.495206,35.103918;251254.153206,11191516.088626,34.463773,25.770992
2025-04-08 15:52:17.110946;2025-04-08 15:52:18.176081;824028.556015,31565968.976725,31.534794,40.458797;165411.292926,11909649.733277,34.931332,26.783218;173751.921277,12018532.73184,34.871957,26.86707;775131.852925,21208406.993427,33.495205,35.10392;251254.166226,11191518.981383,34.463772,25.770995
