Estimulo;C1;C5
2;703671.636231,36512215.54903,28.935805,40.816505,703674.669816,36512262.457826,28.935818,40.816545;1122050.337832,38390804.554386,28.19163,41.320334,1122053.356797,38390826.901551,28.191642,41.320357
2;703713.577156,36512924.78947,28.936065,40.817152,703720.297575,36513004.15261,28.936103,40.817225;1122089.92755,38391541.896313,28.191876,41.320959,1122092.692686,38391606.6401,28.191917,41.321024
0;703726.336018,36513071.386742,28.936101,40.817267,703726.336018,36513071.386742,28.936101,40.817267;1122095.948652,38391620.118278,28.191923,41.321039,1122095.948652,38391620.118278,28.191923,41.321039
0;703795.040697,36514284.136881,28.936506,40.818322,703795.040697,36514284.136881,28.936506,40.818322;1122166.877467,38392901.586336,28.192332,41.3221,1122166.877467,38392901.586336,28.192332,41.3221
2;703837.199947,36515351.146909,28.936814,40.819179,703838.312878,36515424.474475,28.936857,40.819254;1122215.047388,38394022.258201,28.192623,41.322949,1122216.076191,38394087.860505,28.192666,41.323019
0;703864.308376,36515702.66433,28.936852,40.819421,703864.308376,36515702.66433,28.936852,40.819421;1122249.583775,38394407.01906,28.192652,41.323199,1122249.583775,38394407.01906,28.192652,41.323199
1;703865.344943,36515932.605711,28.936915,40.819601,703866.825694,36516002.80465,28.936946,40.819667;1122252.801965,38394729.545432,28.192713,41.323423,1122253.960492,38394795.01626,28.192744,41.323484
0;703880.711982,36516421.983455,28.937026,40.819969,703880.711982,36516421.983455,28.937026,40.819969;1122269.560394,38395252.334195,28.192825,41.323793,1122269.560394,38395252.334195,28.192825,41.323793
1;703993.713169,36518373.831495,28.937285,40.82132,703995.555131,36518415.391863,28.937336,40.821384;1122394.363165,38397458.318184,28.193068,41.325217,1122396.497903,38397526.665415,28.193114,41.325289
0;704047.206241,36521701.153595,28.938923,40.824518,704047.206241,36521701.153595,28.938923,40.824518;1122462.386843,38401005.569695,28.194625,41.328368,1122462.386843,38401005.569695,28.194625,41.328368
1;704090.974014,36522845.506453,28.939081,40.825312,704093.086424,36523073.746209,28.939265,40.825582;1122514.052447,38402280.585334,28.194761,41.329192,1122516.626938,38402537.766985,28.194934,41.329464
1;704097.605897,36523097.469829,28.939268,40.8256,704097.948038,36523101.429761,28.939269,40.825604;1122523.130871,38402573.788162,28.194937,41.329489,1122523.511794,38402578.300527,28.194938,41.329493
0;704099.386616,36523146.950178,28.939299,40.825657,704099.386616,36523146.950178,28.939299,40.825657;1122524.607987,38402636.73169,28.194966,41.32955,1122524.607987,38402636.73169,28.194966,41.32955
0;704203.747305,36526876.015333,28.940768,40.828977,704203.747305,36526876.015333,28.940768,40.828977;1122665.577816,38406815.926482,28.196327,41.332941,1122665.577816,38406815.926482,28.196327,41.332941
2;704203.866002,36526884.805585,28.940774,40.828987,704210.31344,36526982.453104,28.940811,40.829078;1122665.631444,38406829.274757,28.196333,41.332954,1122669.557727,38406919.251884,28.196372,41.333033
1;704224.470337,36528050.528809,28.94125,40.830043,704225.311299,36528181.535434,28.941338,40.830186;1122689.890529,38408148.150889,28.19678,41.334033,1122690.680717,38408301.049022,28.196859,41.334176
1;704226.113902,36528207.053251,28.941344,40.830207,704226.435549,36528231.368835,28.941351,40.830225;1122690.889012,38408323.648258,28.196868,41.334195,1122690.946843,38408351.309611,28.196876,41.334215
0;704226.501167,36528243.708712,28.941357,40.830239,704226.501167,36528243.708712,28.941357,40.830239;1122691.034845,38408361.802387,28.196886,41.334231,1122691.034845,38408361.802387,28.196886,41.334231
2;704226.612166,36528254.516681,28.941359,40.830247,704228.522556,36528298.749957,28.94137,40.830285;1122691.109091,38408372.579992,28.196888,41.33424,1122691.146184,38408395.265573,28.196896,41.334257
1;704233.168478,36528322.476582,28.941376,40.830304,704234.242622,36528337.849633,28.941385,40.830322;1122692.188587,38408425.892171,28.196903,41.334279,1122693.538555,38408443.109366,28.196914,41.3343
1;704234.417707,36528342.442631,28.941387,40.830326,704234.660219,36528361.472795,28.941393,40.83034;1122694.212179,38408451.309042,28.196916,41.334305,1122694.669358,38408473.950301,28.196923,41.334323
0;704274.214877,36529465.427709,28.941841,40.831319,704274.214877,36529465.427709,28.941841,40.831319;1122737.866106,38409748.760346,28.197333,41.335331,1122737.866106,38409748.760346,28.197333,41.335331
2;704279.052305,36529526.799682,28.941836,40.831354,704282.700995,36529635.451099,28.941879,40.831449;1122742.109798,38409828.459073,28.197328,41.335373,1122744.965845,38409914.430632,28.19737,41.335453
1;704282.88599,36529670.562817,28.941889,40.831475,704283.913907,36529697.042604,28.941897,40.831496;1122745.281053,38409927.664577,28.19738,41.335469,1122746.665694,38409956.234829,28.197391,41.335492
1;704284.073513,36529715.787897,28.941905,40.831512,704284.177475,36529728.101382,28.941912,40.831525;1122747.110321,38409978.532574,28.197402,41.335511,1122747.29621,38410001.555429,28.197409,41.335529
2;704285.222633,36529734.066716,28.941912,40.831528,704287.230552,36529784.214635,28.94191,40.831555;1122748.446738,38410009.693315,28.197409,41.335534,1122748.758551,38410025.633681,28.197415,41.335548
0;704291.826585,36529847.501295,28.941916,40.831604,704291.826585,36529847.501295,28.941916,40.831604;1122749.360792,38410053.324295,28.197431,41.335576,1122749.360792,38410053.324295,28.197431,41.335576
1;704292.461247,36529870.143754,28.941921,40.83162,704292.461247,36529870.143754,28.941921,40.83162;1122750.562459,38410079.464047,28.197438,41.335595,1122750.562459,38410079.464047,28.197438,41.335595
0;1272552.520545,35569617.485113,28.648656,40.267614,1272552.520545,35569617.485113,28.648656,40.267614;730766.086726,32770123.66419,29.39964,39.098331,730766.086726,32770123.66419,29.39964,39.098331
1;1272585.541418,35570770.15575,28.648744,40.268367,1272586.326695,35570821.561596,28.648809,40.268457;730811.516988,32771463.75383,29.399639,39.099168,730814.066004,32771522.720436,29.399695,39.099262
1;1272587.399188,35570861.603019,28.648821,40.268488,1272587.56738,35570898.535952,28.648841,40.268524;730814.576734,32771569.005446,29.399712,39.099302,730814.914723,32771615.354806,29.399735,39.099347
0;1272588.664009,35570909.754297,28.648844,40.268533,1272588.664009,35570909.754297,28.648844,40.268533;730816.823811,32771626.829082,29.399737,39.099356,730816.823811,32771626.829082,29.399737,39.099356
1;1272589.033375,35570924.348064,28.648854,40.268549,1272590.287034,35570957.600003,28.648861,40.268573;730817.136302,32771642.903803,29.399749,39.099375,730817.766061,32771677.61467,29.399759,39.099402
2;1272590.357964,35570976.288492,28.648875,40.268596,1272596.953468,35570999.637969,28.648895,40.268628;730818.216305,32771700.604197,29.399777,39.099433,730822.010013,32771725.242694,29.399803,39.099469
1;1272665.540443,35572251.387509,28.649588,40.26988,1272670.29815,35572340.779894,28.649722,40.270058;730902.930352,32772928.207389,29.400409,39.100679,730908.181534,32773026.693764,29.400532,39.100858
0;1272683.040806,35572385.196581,28.649711,40.270087,1272683.040806,35572385.196581,28.649711,40.270087;730920.219081,32773084.898339,29.400517,39.100893,730920.219081,32773084.898339,29.400517,39.100893
2;1272683.192029,35572388.382764,28.649721,40.270099,1272684.171255,35572424.33206,28.649726,40.270125;730920.359921,32773091.739286,29.400529,39.10091,730921.004575,32773127.978678,29.400532,39.100933
1;1272718.531921,35573817.761351,28.650561,40.271581,1272722.091157,35573980.087497,28.650695,40.27178;730963.329309,32774597.631471,29.401229,39.102381,730966.968312,32774786.431882,29.401341,39.10258
0;1272807.619739,35574872.049671,28.651328,40.272859,1272807.619739,35574872.049671,28.651328,40.272859;731066.912325,32775735.416531,29.401884,39.10367,731066.912325,32775735.416531,29.401884,39.10367
1;1272807.803535,35574886.290107,28.651334,40.272871,1272809.184221,35574931.070712,28.651366,40.272923;731067.750538,32775754.600986,29.40189,39.103687,731068.940918,32775796.914471,29.401922,39.103739
0;1272871.661551,35575584.735439,28.651616,40.273518,1272871.661551,35575584.735439,28.651616,40.273518;731141.418526,32776497.241199,29.40214,39.10437,731141.418526,32776497.241199,29.40214,39.10437
2;1272880.455596,35575757.525708,28.651693,40.273674,1272883.388802,35575816.208787,28.651708,40.273719;731150.214305,32776704.633676,29.402207,39.10454,731150.676653,32776736.226348,29.402222,39.104571
2;1272910.609029,35576485.880599,28.652178,40.274481,1272910.628244,35576494.312947,28.652181,40.274488;731181.583746,32777394.648357,29.40264,39.105318,731181.703959,32777400.059491,29.402641,39.105322
2;1272935.425948,35577140.800328,28.65259,40.275181,1272940.507334,35577208.544074,28.652644,40.275266;731211.410847,32778014.309185,29.403,39.105983,731213.436702,32778100.168497,29.403051,39.106075
