Estimulo;C1;C5
0;20065321.272763,465878011.964969,25.055153,137.083029,20065321.272763,465878011.964969,25.055153,137.083029;15349396.400746,324793847.996863,24.562905,113.261792,15349396.400746,324793847.996863,24.562905,113.261792
1;20065322.673035,465878023.999519,25.055153,137.083033,20065323.75751,465878038.708882,25.055154,137.083037;15349397.149987,324793860.14358,24.562907,113.261797,15349397.844663,324793878.311492,24.562908,113.261803
1;20065324.558856,465878055.427191,25.055154,137.08304,20065324.963414,465878069.349268,25.055155,137.083045;15349398.118515,324793894.750111,24.562909,113.261807,15349398.618374,324793911.750895,24.56291,113.261814
2;20065325.163818,465878076.502185,25.055155,137.083047,20065325.52308,465878085.410576,25.055156,137.08305;15349398.821379,324793926.021609,24.562911,113.261818,15349399.134619,324793935.217682,24.562912,113.261822
0;20065326.729325,465878125.680536,25.055157,137.083059,20065326.729325,465878125.680536,25.055157,137.083059;15349399.933491,324793993.201512,24.562915,113.261837,15349399.933491,324793993.201512,24.562915,113.261837
2;20065327.855685,465878177.841237,25.055159,137.083071,20065330.275435,465878190.01568,25.05516,137.083074;15349400.771124,324794066.229643,24.562917,113.261855,15349402.94067,324794076.731323,24.562918,113.261858
1;20065330.40007,465878203.998499,25.05516,137.083078,20065331.948817,465878210.741013,25.055161,137.08308;15349403.093313,324794094.037767,24.562919,113.261863,15349403.70021,324794103.534994,24.56292,113.261866
0;20065332.029371,465878231.83528,25.055162,137.083085,20065332.029371,465878231.83528,25.055162,137.083085;15349403.905143,324794132.22392,24.562921,113.261874,15349403.905143,324794132.22392,24.562921,113.261874
2;20065332.359237,465878243.062325,25.055162,137.083088,20065332.477083,465878260.032511,25.055162,137.083091;15349404.341951,324794152.708917,24.562922,113.261878,15349404.639398,324794164.686485,24.562922,113.261882
2;20065334.215549,465878310.007327,25.055166,137.083107,20065335.395779,465878320.588232,25.055166,137.08311;15349407.214546,324794227.356236,24.562928,113.261905,15349408.480214,324794240.48432,24.562929,113.261909
0;20065337.118155,465878344.799643,25.055167,137.083115,20065337.118155,465878344.799643,25.055167,137.083115;15349409.938943,324794264.353848,24.562929,113.261916,15349409.938943,324794264.353848,24.562929,113.261916
1;20065337.868051,465878356.342883,25.055167,137.083118,20065338.087943,465878368.600392,25.055167,137.083121;15349410.414895,324794273.919411,24.56293,113.261919,15349410.534801,324794286.601261,24.562931,113.261923
0;20065343.90388,465878508.532068,25.055174,137.083156,20065343.90388,465878508.532068,25.055174,137.083156;15349419.61082,324794467.567791,24.562942,113.261976,15349419.61082,324794467.567791,24.562942,113.261976
2;20065345.308134,465878636.460639,25.05518,137.083188,20065347.497987,465878655.448008,25.055181,137.083193;15349424.773823,324794654.845135,24.562954,113.262028,15349425.763498,324794678.547274,24.562955,113.262036
0;20065350.451782,465878696.01356,25.055183,137.083205,20065350.451782,465878696.01356,25.055183,137.083205;15349428.66339,324794724.549722,24.562958,113.262051,15349428.66339,324794724.549722,24.562958,113.262051
1;20065350.4912,465878712.080935,25.055183,137.083209,20065350.624229,465878729.779545,25.055184,137.083213;15349428.757981,324794738.569402,24.562959,113.262055,15349429.136892,324794763.57901,24.56296,113.262061
1;20065351.260975,465878755.41413,25.055186,137.08322,20065352.026392,465878795.55389,25.055187,137.083229;15349429.683413,324794790.946794,24.562961,113.262069,15349430.102419,324794801.226275,24.562962,113.262072
1;20065352.126969,465878810.136291,25.055188,137.083234,20065356.550678,465878838.170021,25.055189,137.083241;15349430.230902,324794817.253023,24.562963,113.262077,15349430.913884,324794827.891068,24.562964,113.262082
0;20065358.572199,465878889.504549,25.055191,137.083256,20065358.572199,465878889.504549,25.055191,137.083256;15349436.260099,324794911.10404,24.562967,113.262103,15349436.260099,324794911.10404,24.562967,113.262103
1;20065360.732641,465878972.378129,25.055195,137.083275,20065362.695458,465878998.730602,25.055195,137.08328;15349439.609149,324795015.479744,24.562973,113.262132,15349440.171359,324795034.594684,24.562974,113.262138
0;20065365.365869,465879083.313746,25.055198,137.083301,20065365.365869,465879083.313746,25.055198,137.083301;15349444.21409,324795107.056554,24.56298,113.262161,15349444.21409,324795107.056554,24.56298,113.262161
1;20065365.841774,465879101.758626,25.055199,137.083305,20065366.435565,465879144.824779,25.0552,137.083314;15349444.691672,324795122.346256,24.56298,113.262166,15349445.81051,324795143.32987,24.562981,113.262172
1;20065367.164313,465879167.141714,25.055201,137.083319,20065368.468552,465879189.3467,25.055201,137.083323;15349446.111429,324795153.62637,24.562982,113.262175,15349446.527787,324795162.777042,24.562982,113.262177
0;20065374.434627,465879318.993502,25.055207,137.083357,20065374.434627,465879318.993502,25.055207,137.083357;15349455.782569,324795304.818126,24.562992,113.262221,15349455.782569,324795304.818126,24.562992,113.262221
2;703493.438794,36507008.660511,28.934321,40.812295,703495.871482,36507102.873561,28.934339,40.812359;1121846.064085,38385405.933613,28.190142,41.316141,1121846.577402,38385467.37783,28.190165,41.316189
1;703498.786786,36507157.419928,28.934343,40.812392,703499.910082,36507217.310286,28.934383,40.812461;1121846.805756,38385492.684755,28.190173,41.316207,1121847.398206,38385532.667901,28.190218,41.316269
2;703500.462949,36507258.424523,28.934399,40.812496,703501.543483,36507272.05214,28.934403,40.812509;1121848.236626,38385593.642466,28.190237,41.316316,1121849.975901,38385609.274269,28.190243,41.316332
2;703503.740373,36507315.697296,28.934408,40.812541,703504.058912,36507340.023817,28.934419,40.812564;1121850.491438,38385639.901717,28.190247,41.316352,1121850.577381,38385673.039943,28.19026,41.31638
1;703504.995489,36507406.970802,28.934439,40.812617,703505.682403,36507424.385802,28.934448,40.812634;1121853.075562,38385718.259097,28.190287,41.316427,1121854.212676,38385742.870425,28.190298,41.316448
0;703505.976396,36507443.442167,28.934449,40.812645,703505.976396,36507443.442167,28.934449,40.812645;1121854.518365,38385755.76274,28.190299,41.316456,1121854.518365,38385755.76274,28.190299,41.316456
2;703506.177709,36507470.365966,28.934457,40.812665,703507.449612,36507514.867335,28.934469,40.8127;1121854.761721,38385785.165734,28.19031,41.316479,1121855.569849,38385820.948414,28.190329,41.316512
2;703516.652004,36507886.021685,28.934646,40.813065,703516.959712,36507918.462548,28.934657,40.813092;1121864.154368,38386218.499957,28.190502,41.316878,1121864.200767,38386251.547299,28.190515,41.316904
0;703517.881698,36507999.042586,28.934649,40.813132,703517.881698,36507999.042586,28.934649,40.813132;1121864.697535,38386280.887717,28.190521,41.316924,1121864.697535,38386280.887717,28.190521,41.316924
1;703519.556121,36508021.635737,28.934653,40.81315,703520.478872,36508032.270793,28.934654,40.813157;1121865.472865,38386303.049474,28.190529,41.316942,1121866.198916,38386311.84248,28.190531,41.316949
