Estimulo;C1;C2;C3;C4;C5
0;1546616.551314,39154113.477104,28.584748,42.527054;877995.356064,41642051.02494,28.453913,43.181259;838361.315125,38009151.028983,28.683897,41.439777;962260.924403,38955179.349442,28.865479,42.211725;813906.509245,38470546.082613,28.060757,41.185092
0;1546616.911409,39154142.662809,28.584756,42.527074;877997.475409,41642143.289329,28.453931,43.181319;838361.565503,38009170.612011,28.6839,41.439789;962261.749931,38955220.605572,28.865487,42.211751;813907.898274,38470613.604152,28.06077,41.185135
0;1546617.00058,39154168.13809,28.584766,42.527096;877997.631229,41642234.796613,28.453957,43.181384;838361.723947,38009182.641745,28.683905,41.439799;962261.915623,38955254.51754,28.865497,42.211777;813908.015237,38470672.307932,28.060788,41.185178
0;1546617.352783,39154191.476608,28.584777,42.527116;877998.491977,41642297.197432,28.45398,43.181434;838361.950789,38009193.141329,28.68391,41.439809;962262.480315,38955277.515732,28.865508,42.211798;813908.550175,38470709.997319,28.060807,41.185212
0;1546618.551192,39154273.371073,28.584804,42.527182;877998.681895,41642457.012708,28.454043,43.181562;838361.96222,38009214.469896,28.683921,41.439829;962262.535579,38955333.573167,28.865534,42.211847;813908.647644,38470814.745816,28.06085,41.185296
0;1546619.539881,39154297.164608,28.584808,42.5272;877999.161945,41642472.60615,28.454048,43.181575;838362.022382,38009217.106845,28.683922,41.439831;962262.726754,38955341.169808,28.865536,42.211853;813908.836184,38470826.029107,28.060854,41.185306
1;1546621.059948,39154324.861776,28.584823,42.527229;877999.646154,41642507.844774,28.454076,43.181619;838362.162296,38009223.266553,28.683928,41.439839;962262.829473,38955352.696255,28.865548,42.21187;813909.120083,38470848.436023,28.060876,41.185336
0;1546624.015461,39154358.213225,28.584848,42.527273;878005.306605,41642595.398187,28.454129,43.18172;838362.697248,38009237.282488,28.683937,41.439856;962264.706422,38955389.504374,28.86557,42.21191;813912.963089,38470912.687517,28.06091,41.185404
0;1546624.370595,39154526.278579,28.584942,42.52743;878007.237735,41643081.831768,28.45441,43.182203;838363.170162,38009280.857275,28.683962,41.439897;962265.480285,38955515.485953,28.865649,42.21204;813914.679936,38471189.328345,28.061081,41.185682
4;1546624.432069,39154541.933811,28.584951,42.527447;878008.135958,41643125.372795,28.454431,43.182244;838363.258022,38009288.432567,28.683966,41.439904;962265.726791,38955530.785082,28.865658,42.212056;813915.145484,38471219.994943,28.061095,41.185711
