Estimulo;C1;C2;C3;C4;C5
0;1390460.960603,50962003.557901,27.584254,47.042988,1390460.960603,50962003.557901,27.584254,47.042988;2024823.816005,50388024.675649,27.776361,47.759692,2024823.816005,50388024.675649,27.776361,47.759692;3314832.468066,64203882.580652,27.706815,53.689138,3314832.468066,64203882.580652,27.706815,53.689138;9120025.45928,211355377.983761,27.448504,96.420033,9120025.45928,211355377.983761,27.448504,96.420033;1116119.758843,46323547.8149,28.219425,45.606058,1116119.758843,46323547.8149,28.219425,45.606058
0;1030930.387503,36062634.845542,28.837011,40.572922,1030930.387503,36062634.845542,28.837011,40.572922;856720.009339,36698647.746016,28.807501,40.722175,856720.009339,36698647.746016,28.807501,40.722175;816693.823024,35209585.702841,29.114738,40.239439,816693.823024,35209585.702841,29.114738,40.239439;460503.593405,32093015.938631,30.46563,39.504156,460503.593405,32093015.938631,30.46563,39.504156;1244579.025045,35492322.037212,28.684997,40.238598,1244579.025045,35492322.037212,28.684997,40.238598
1;998140.517596,35694199.674332,28.712327,40.220116,998141.173587,35694260.348464,28.712347,40.220166;1056283.996377,36693455.645033,28.479548,40.594634,1056285.036048,36693505.675197,28.479575,40.594683;1178441.487654,36872389.926688,28.406914,40.726264,1178442.506718,36872404.977497,28.406923,40.72628;1238874.179877,34717187.916758,29.446254,40.628376,1238875.137885,34717203.444292,29.446261,40.628392;1187409.732266,37219867.225921,28.325066,40.830296,1187410.562103,37219892.084669,28.32508,40.830322
1;849953.260219,37523927.457307,28.334532,40.911833,849964.109059,37525060.722329,28.335334,40.913109;849996.214999,37527763.389492,28.335324,40.914617,850016.602089,37529661.866336,28.336273,40.916452;849898.543746,37520384.252816,28.332444,40.908211,849902.644112,37520801.282327,28.332722,40.908667;844160.064974,37544398.256383,28.330684,40.911748,844163.442992,37544730.114093,28.33092,40.912123;859845.99993,37520724.475056,28.33389,40.911314,859858.004269,37521744.004288,28.334434,40.912323
0;1549370.783968,39240629.563518,28.605382,42.589895,1549370.783968,39240629.563518,28.605382,42.589895;883781.967655,41797911.378098,28.491573,43.296312,883781.967655,41797911.378098,28.491573,43.296312;839437.855563,38035900.721333,28.69258,41.461769,839437.855563,38035900.721333,28.69258,41.461769;963739.666722,38995502.960505,28.876951,42.243357,963739.666722,38995502.960505,28.876951,42.243357;817756.590152,38568963.603867,28.08817,41.26115,817756.590152,38568963.603867,28.08817,41.26115
1;1547016.067304,39173599.961378,28.589069,42.540481,1547016.341159,39173645.231889,28.589085,42.540515;878570.703211,41664931.734644,28.461114,43.199309,878571.017732,41664988.369115,28.461133,43.199351;838456.038455,38012322.297757,28.68517,41.442541,838456.154236,38012332.617386,28.685173,41.442549;962465.135805,38962684.741077,28.868186,42.218036,962465.483681,38962706.175323,28.868193,42.218052;814307.406818,38484905.735409,28.06567,41.196703,814307.666459,38484951.731231,28.065683,41.196735
0;26628862.681834,513009578.070288,26.490539,149.167423,26628862.681834,513009578.070288,26.490539,149.167423;10796754.680366,361336474.294165,27.279179,124.971318,10796754.680366,361336474.294165,27.279179,124.971318;14967771.398699,407630898.552234,27.152356,133.129583,14967771.398699,407630898.552234,27.152356,133.129583;16673720.95208,365649832.81588,26.703596,125.634753,16673720.95208,365649832.81588,26.703596,125.634753;16265527.429942,398187972.113744,26.760036,130.939897,16265527.429942,398187972.113744,26.760036,130.939897
0;919783.027734,41105846.074289,27.898416,42.395358,919783.027734,41105846.074289,27.898416,42.395358;2023627.974231,50357957.246505,27.768909,47.739579,2023627.974231,50357957.246505,27.768909,47.739579;3178207.922192,60786502.833415,27.782882,52.36484,3178207.922192,60786502.833415,27.782882,52.36484;3491617.253766,91455702.653373,28.760841,64.938673,3491617.253766,91455702.653373,28.760841,64.938673;1043245.703556,43690663.905822,28.369727,44.414749,1043245.703556,43690663.905822,28.369727,44.414749
1;1547960.292053,39208442.615449,28.595692,42.564279,1547960.455956,39208463.180265,28.595701,42.564298;880524.263993,41731295.498535,28.475602,43.246517,880524.578083,41731349.786255,28.475623,43.246564;838856.034554,38023510.649113,28.688494,41.451449,838856.161465,38023523.408524,28.688499,41.451459;963075.964089,38980765.278925,28.872524,42.231471,963076.112509,38980778.534881,28.87253,42.231482;815832.996279,38529944.514987,28.076813,41.230331,815833.265128,38529977.089606,28.076827,41.230359
1;1272910.609029,35576485.880599,28.652178,40.274481,1272910.628244,35576494.312947,28.652181,40.274488;1680123.856996,37794245.962078,28.031746,41.230683,1680123.993538,37794254.819783,28.031748,41.230689;1303769.170069,35764857.365154,28.596563,40.364399,1303769.358025,35764860.274045,28.596563,40.364401;1095284.725664,34524720.468715,29.606389,40.520904,1095284.894895,34524722.991131,29.606389,40.520906;731181.583746,32777394.648357,29.40264,39.105318,731181.703959,32777400.059491,29.402641,39.105322
1;1547450.135522,39188384.192212,28.590674,42.549611,1547454.99404,39188451.197243,28.59068,42.549652;879447.466912,41692475.353517,28.464236,43.21636,879466.738914,41692671.931758,28.46425,43.216479;838621.623379,38016824.177313,28.68605,41.445721,838624.432135,38016852.637858,28.686054,41.445741;962755.744322,38971306.070606,28.869358,42.223633,962760.610712,38971351.128138,28.869362,42.223663;814978.48862,38503024.191296,28.068234,41.208582,814991.8176,38503145.638455,28.068245,41.208661
0;1273043.801215,35580758.366853,28.654346,40.278649,1273043.801215,35580758.366853,28.654346,40.278649;1680366.282086,37801458.443003,28.034591,41.236944,1680366.282086,37801458.443003,28.034591,41.236944;1303826.116285,35766455.070439,28.59736,40.36595,1303826.116285,35766455.070439,28.59736,40.36595;1095338.326019,34526248.042862,29.607082,40.522391,1095338.326019,34526248.042862,29.607082,40.522391;731330.896121,32781734.329902,29.404499,39.109458,731330.896121,32781734.329902,29.404499,39.109458
0;7774453.073786,196850228.606315,27.521666,92.829672,7774453.073786,196850228.606315,27.521666,92.829672;9556531.513297,195848153.04542,24.796233,88.626448,9556531.513297,195848153.04542,24.796233,88.626448;22591515.814523,554148949.812139,27.576128,156.500341,22591515.814523,554148949.812139,27.576128,156.500341;5045721.168103,94861660.527342,28.281772,66.810164,5045721.168103,94861660.527342,28.281772,66.810164;22044315.481686,487609518.108863,27.059857,147.224284,22044315.481686,487609518.108863,27.059857,147.224284
1;1687322.433128,34496257.918161,28.592373,40.175649,1687323.033735,34496291.144205,28.592383,40.175675;1784923.77659,35431481.416201,28.338361,40.547658,1784923.834229,35431521.560065,28.338377,40.547691;863912.538324,33432172.007883,29.275416,39.344176,863912.62685,33432186.308725,29.275422,39.344188;1196652.229375,35004765.896469,29.356699,40.664453,1196652.290617,35004780.000644,29.356704,40.664464;1028246.783304,34082229.200293,29.062753,39.636594,1028246.882226,34082255.087856,29.062762,39.636615
1;850554.687439,37538862.830571,28.344275,40.92757,850555.450368,37538881.559821,28.34428,40.927584;850989.45427,37551733.691271,28.346767,40.936969,850990.829129,37551758.455442,28.346775,40.936989;850086.606039,37525799.573908,28.336013,40.913873,850087.189474,37525808.548844,28.336016,40.91388;844310.367273,37548761.953391,28.333714,40.916412,844310.950622,37548771.107009,28.333716,40.916418;860536.483631,37533608.330849,28.340343,40.923671,860537.789373,37533624.259478,28.340347,40.923683
0;1702261.782432,56774133.403305,27.472465,49.638231,1702261.782432,56774133.403305,27.472465,49.638231;2025105.484306,50397441.578002,27.781343,47.768339,2025105.484306,50397441.578002,27.781343,47.768339;3314925.342642,64205687.452592,27.706959,53.690022,3314925.342642,64205687.452592,27.706959,53.690022;9120225.037996,211362152.141286,27.449435,96.423163,9120225.037996,211362152.141286,27.449435,96.423163;1116378.739964,46332611.152305,28.223791,45.614021,1116378.739964,46332611.152305,28.223791,45.614021
0;1030311.071689,36044779.21522,28.82937,40.556399,1030311.071689,36044779.21522,28.82937,40.556399;855557.616805,36668391.485455,28.796921,40.695811,855557.616805,36668391.485455,28.796921,40.695811;816437.272824,35202932.331844,29.111879,40.233167,816437.272824,35202932.331844,29.111879,40.233167;460246.451555,32086275.926453,30.463034,39.497658,460246.451555,32086275.926453,30.463034,39.497658;1243901.946233,35474573.691606,28.677817,40.222461,1243901.946233,35474573.691606,28.677817,40.222461
