Estimulo;C1;C5
0;26625001.916798,512908333.585345,26.490317,149.151841,26625001.916798,512908333.585345,26.490317,149.151841;16208136.224605,397254584.217924,26.748754,130.758285,16208136.224605,397254584.217924,26.748754,130.758285
0;26625002.006143,512908336.263624,26.490317,149.151842,26625002.006143,512908336.263624,26.490317,149.151842;16208136.279382,397254588.953647,26.748754,130.758286,16208136.279382,397254588.953647,26.748754,130.758286
0;26625002.134344,512908340.567992,26.490317,149.151843,26625002.134344,512908340.567992,26.490317,149.151843;16208136.460697,397254593.339541,26.748754,130.758288,16208136.460697,397254593.339541,26.748754,130.758288
0;26625003.47983,512908359.624723,26.490318,149.151846,26625003.47983,512908359.624723,26.490318,149.151846;16208136.54792,397254613.114762,26.748755,130.758291,16208136.54792,397254613.114762,26.748755,130.758291
0;26625003.958361,512908366.002622,26.490318,149.151847,26625003.958361,512908366.002622,26.490318,149.151847;16208136.787906,397254619.895322,26.748755,130.758293,16208136.787906,397254619.895322,26.748755,130.758293
0;26625004.959249,512908392.006938,26.490318,149.151852,26625004.959249,512908392.006938,26.490318,149.151852;16208137.099088,397254629.551183,26.748756,130.758296,16208137.099088,397254629.551183,26.748756,130.758296
0;26625005.884282,512908415.292208,26.490318,149.151856,26625005.884282,512908415.292208,26.490318,149.151856;16208137.329083,397254639.813088,26.748756,130.758299,16208137.329083,397254639.813088,26.748756,130.758299
0;26625005.998181,512908427.886716,26.490319,149.151859,26625005.998181,512908427.886716,26.490319,149.151859;16208137.393153,397254647.997671,26.748756,130.758301,16208137.393153,397254647.997671,26.748756,130.758301
0;26625009.739346,512908501.09238,26.490319,149.15187,26625009.739346,512908501.09238,26.490319,149.15187;16208138.2631,397254657.449869,26.748757,130.758303,16208138.2631,397254657.449869,26.748757,130.758303
0;26625012.260737,512908516.710232,26.49032,149.151873,26625012.260737,512908516.710232,26.49032,149.151873;16208138.917093,397254668.462706,26.748757,130.758306,16208138.917093,397254668.462706,26.748757,130.758306
0;26625012.278374,512908520.396851,26.49032,149.151874,26625012.278374,512908520.396851,26.49032,149.151874;16208138.941176,397254673.928978,26.748758,130.758308,16208138.941176,397254673.928978,26.748758,130.758308
0;26625017.688734,512908765.461715,26.490336,149.15195,26625017.688734,512908765.461715,26.490336,149.15195;16208148.459121,397254922.545257,26.748775,130.758389,16208148.459121,397254922.545257,26.748775,130.758389
0;26625323.883682,512916689.522491,26.490255,149.15284,26625323.883682,512916689.522491,26.490255,149.15284;16208489.218514,397264131.993751,26.748653,130.759571,16208489.218514,397264131.993751,26.748653,130.759571
0;26625326.677306,512916724.747705,26.490255,149.152845,26625326.677306,512916724.747705,26.490255,149.152845;16208490.863951,397264159.059291,26.748653,130.759576,16208490.863951,397264159.059291,26.748653,130.759576
