Estimulo,C1,C2,C3,C4,C5
0,"26628929.956592,513010693.702544,26.490556,149.167628","10796822.448566,361337557.942419,27.279196,124.971543","14967857.061873,407632228.860819,27.152365,133.129822","16673784.550456,365650925.993222,26.703617,125.634985","16265591.70197,398189107.022774,26.760058,130.94013"
0,"26628930.939971,513010704.471885,26.490557,149.167629","10796823.370072,361337567.585024,27.279196,124.971545","14967858.007775,407632237.52753,27.152365,133.129824","16673785.418134,365650933.911081,26.703617,125.634987","16265592.544834,398189115.23336,26.760058,130.940132"
0,"26628930.96385,513010706.017266,26.490557,149.16763","10796823.384218,361337569.368742,27.279196,124.971545","14967858.016291,407632239.482421,27.152365,133.129824","16673785.436317,365650935.531209,26.703617,125.634987","16265592.560636,398189116.885365,26.760058,130.940132"
0,"26628931.27591,513010709.399905,26.490557,149.16763","10796823.678741,361337572.622931,27.279196,124.971546","14967858.298661,407632242.699553,27.152365,133.129825","16673785.603795,365650938.609506,26.703618,125.634988","16265592.734798,398189120.052054,26.760058,130.940133"
0,"26628931.3018,513010712.219028,26.490557,149.167631","10796823.696148,361337575.06504,27.279196,124.971546","14967858.305226,407632244.981519,27.152365,133.129825","16673785.614297,365650941.135448,26.703618,125.634988","16265592.745171,398189122.557824,26.760058,130.940134"
0,"26628931.428318,513010716.128569,26.490557,149.167631","10796823.80295,361337578.480791,27.279196,124.971547","14967858.387852,407632248.280465,27.152365,133.129826","16673785.668249,365650945.290271,26.703618,125.634989","16265592.79467,398189126.987376,26.760058,130.940134"
2,"26628932.424771,513010723.793228,26.490557,149.167633","10796824.696619,361337585.775602,27.279196,124.971548","14967859.083087,407632255.08156,27.152365,133.129827","16673786.361492,365650951.435633,26.703618,125.63499","16265593.485382,398189133.081095,26.760058,130.940136"
0,"26628932.458489,513010725.612679,26.490557,149.167633","10796824.718661,361337587.47731,27.279196,124.971549","14967859.09275,407632256.865519,27.152365,133.129827","16673786.366974,365650953.871288,26.703618,125.634991","16265593.495495,398189135.661398,26.760058,130.940136"
1,"26628932.483389,513010728.41043,26.490557,149.167634","10796824.736437,361337590.105301,27.279196,124.971549","14967859.108459,407632259.877925,27.152365,133.129828","16673786.383418,365650957.745755,26.703618,125.634992","16265593.511823,398189140.013906,26.760058,130.940137"
0,"26628932.749828,513010730.776248,26.490557,149.167634","10796824.963542,361337592.464401,27.279196,124.97155","14967859.295776,407632262.582118,27.152365,133.129829","16673786.558119,365650961.261353,26.703618,125.634993","16265593.674043,398189143.819964,26.760059,130.940138"
0,"26628933.044542,513010732.875006,26.490557,149.167635","10796825.270496,361337594.599548,27.279196,124.971551","14967859.620468,407632265.003237,27.152366,133.12983","16673786.875294,365650965.714151,26.703618,125.634994","16265593.987854,398189148.631788,26.760059,130.940139"
