Estimulo;C1;C2;C3;C4;C5
0;338875.718884,24406775.431625,32.554554,36.015559,338875.718884,24406775.431625,32.554554,36.015559;827246.68903,35007333.020116,29.75636,40.71538,827246.68903,35007333.020116,29.75636,40.71538;403956.800159,24091027.222488,33.000131,36.188148,403956.800159,24091027.222488,33.000131,36.188148;918133.717467,33051482.454955,30.629981,40.471267,918133.717467,33051482.454955,30.629981,40.471267;793834.576939,37113413.422653,29.937858,42.133809,793834.576939,37113413.422653,29.937858,42.133809
1;338875.767894,24406783.720331,32.554556,36.015567,338880.440556,24406806.860614,32.554556,36.015586;827246.878087,35007375.930969,29.756367,40.715414,827252.881436,35007449.579702,29.756392,40.715473;403957.2292,24091141.915911,33.000132,36.188243,403963.740676,24091321.123112,33.000178,36.188397;918134.735374,33051723.001678,30.630004,40.471445,918144.655275,33052077.794281,30.630123,40.471724;793834.825672,37113427.024156,29.93786,42.133819,793838.658889,37113452.366108,29.937864,42.133838
2;338880.481976,24406814.717775,32.554557,36.015594,338880.897581,24406829.07715,32.554558,36.015606;827253.231461,35007477.886171,29.756401,40.7155,827254.001991,35007511.420898,29.756415,40.715536;403965.418066,24091389.650849,33.000191,36.188468,403966.823404,24091467.800493,33.000216,36.188565;918148.607168,33052211.045775,30.630161,40.471853,918151.328469,33052350.215396,30.630227,40.472024;793838.93911,37113463.357688,29.937867,42.133848,793839.672307,37113478.012831,29.937871,42.133861
2;338881.02281,24406856.609206,32.554557,36.015623,338881.21217,24406870.160478,32.554559,36.015635;827254.139042,35007581.24799,29.756424,40.715577,827254.257872,35007635.866522,29.756436,40.715617;403967.334364,24091620.184157,33.000221,36.188664,403967.495281,24091771.808786,33.000226,36.188778;918152.959321,33052625.09276,30.630258,40.47219,918153.522308,33052921.216,30.630289,40.47239;793839.70739,37113505.137976,29.937874,42.133877,793839.735228,37113525.020898,29.937878,42.13389
0;338881.589453,24406902.107331,32.554562,36.01566,338881.589453,24406902.107331,32.554562,36.01566;827254.477315,35007725.215632,29.756458,40.715689,827254.477315,35007725.215632,29.756458,40.715689;403967.971349,24091968.656458,33.000254,36.188958,403967.971349,24091968.656458,33.000254,36.188958;918158.53192,33053321.663947,30.630376,40.472722,918158.53192,33053321.663947,30.630376,40.472722;793840.003197,37113562.996299,29.937884,42.133917,793840.003197,37113562.996299,29.937884,42.133917
2;338881.619852,24406909.118132,32.554564,36.015667,338882.253068,24406919.80146,32.554565,36.015677;827254.85941,35007741.695286,29.756463,40.715704,827255.274706,35007777.276495,29.75647,40.715731;403968.902741,24092011.325774,33.000255,36.188996,403969.224704,24092091.164862,33.000262,36.189062;918159.425214,33053447.067911,30.630389,40.472806,918159.73052,33053608.489538,30.630414,40.472924;793840.105688,37113573.253002,29.937886,42.133925,793840.712266,37113593.644922,29.937889,42.133939
2;338882.386161,24406932.6398,32.554567,36.015688,338884.012064,24406944.875568,32.554568,36.015698;827255.416283,35007828.615732,29.75648,40.715768,827257.434753,35007876.467637,29.756491,40.715802;403969.531746,24092218.595983,33.000271,36.18916,403972.215704,24092346.34076,33.000281,36.189256;918160.195762,33053859.195881,30.630453,40.473102,918163.459314,33054119.71568,30.630491,40.473277;793840.810857,37113613.980423,29.937894,42.133954,793842.17196,37113642.623669,29.937899,42.133974
1;338884.197419,24406954.536324,32.55457,36.015707,338885.030837,24406969.440485,32.554576,36.015724;827257.596837,35007913.60587,29.756501,40.715835,827258.783571,35007950.686789,29.756541,40.715891;403972.50806,24092447.585914,33.000291,36.189348,403973.766015,24092541.159886,33.000375,36.189493;918163.924465,33054326.752568,30.630531,40.47345,918165.758097,33054518.336398,30.630713,40.473726;793842.21133,37113663.9002,29.937904,42.133992,793842.797899,37113681.369902,29.937917,42.134014
1;338885.194578,24406977.578061,32.554577,36.015731,338886.487533,24406989.860342,32.554576,36.01574;827259.141383,35007991.812981,29.756549,40.715923,827260.851324,35008025.892864,29.756553,40.715946;403974.634551,24092662.652837,33.000381,36.189591,403977.047175,24092742.209359,33.00038,36.189648;918167.114964,33054781.475475,30.630747,40.473917,918169.758296,33054938.269191,30.630764,40.47402;793842.986871,37113695.179486,29.93792,42.134024,793844.421849,37113709.701303,29.937922,42.134034
2;338886.61753,24407007.635473,32.554575,36.015752,338888.973202,24407033.868027,32.554572,36.015772;827260.967353,35008074.406471,29.756563,40.71598,827267.072517,35008167.41817,29.756568,40.716044;403977.219507,24092864.181962,33.000392,36.18974,403987.71852,24093092.354,33.000376,36.189913;918170.047268,33055199.128524,30.630807,40.474197,918183.649841,33055635.740268,30.630836,40.474504;793844.457658,37113726.854631,29.937924,42.134046,793846.456672,37113759.090684,29.937924,42.134066
0;338889.173738,24407054.698542,32.554572,36.015786,338889.173738,24407054.698542,32.554572,36.015786;827267.726627,35008204.795684,29.75658,40.716074,827267.726627,35008204.795684,29.75658,40.716074;403988.910807,24093175.517318,33.000394,36.189987,403988.910807,24093175.517318,33.000394,36.189987;918185.643626,33055804.054484,30.630885,40.474643,918185.643626,33055804.054484,30.630885,40.474643;793846.605651,37113774.024934,29.937928,42.134077,793846.605651,37113774.024934,29.937928,42.134077
2;338889.915262,24407068.226435,32.554571,36.015795,338890.406043,24407086.507007,32.554568,36.015807;827268.916955,35008252.092918,29.756588,40.716109,827269.57319,35008293.070767,29.756592,40.716138;403990.866372,24093295.414896,33.000399,36.190082,403991.690239,24093383.233578,33.000403,36.190154;918188.993249,33056058.972251,30.630918,40.474825,918190.252525,33056239.124612,30.630946,40.47496;793847.068795,37113789.860274,29.93793,42.134087,793847.783954,37113807.509794,29.93793,42.134099
2;338890.479448,24407092.427315,32.554569,36.015813,338891.281739,24407105.081093,32.554573,36.015827;827269.90771,35008314.813467,29.756598,40.716157,827270.912808,35008359.561706,29.756618,40.716204;403992.537228,24093445.731226,33.000406,36.190209,403994.030797,24093550.126054,33.000438,36.190329;918192.400686,33056369.763436,30.630962,40.475063,918194.757652,33056576.329967,30.631048,40.475286;793847.919541,37113814.854725,29.937932,42.134105,793848.784985,37113829.647025,29.937939,42.134121
2;338891.417175,24407117.654026,32.554575,36.015836,338891.795462,24407127.410491,32.554575,36.015844;827271.860656,35008408.182993,29.75663,40.716238,827272.240483,35008431.457299,29.756637,40.71626;403996.601354,24093669.369502,33.00045,36.190419,403997.210675,24093721.748442,33.000461,36.190474;918199.287856,33056824.495819,30.631091,40.475457,918200.270175,33056936.398091,30.631123,40.475561;793849.214153,37113848.229493,29.937943,42.134133,793850.112791,37113855.840873,29.937946,42.134141
1;338891.903677,24407144.792797,32.554574,36.015856,338893.624858,24407157.08293,32.554574,36.015865;827272.334084,35008478.486421,29.756645,40.716292,827274.044915,35008516.064916,29.756652,40.716319;403997.42648,24093826.98273,33.000469,36.190556,403998.986621,24093907.813582,33.000478,36.190622;918201.11563,33057139.923185,30.631156,40.475707,918202.861848,33057301.920627,30.631188,40.475827;793850.194619,37113871.965279,29.937948,42.134152,793851.336264,37113893.07636,29.937948,42.134164
0;338895.308025,24407179.265353,32.554573,36.015881,338895.308025,24407179.265353,32.554573,36.015881;827276.338847,35008572.288318,29.756669,40.716369,827276.338847,35008572.288318,29.756669,40.716369;404002.313649,24094020.099555,33.000506,36.190742,404002.313649,24094020.099555,33.000506,36.190742;918208.304504,33057516.095399,30.631268,40.476045,918208.304504,33057516.095399,30.631268,40.476045;793852.524183,37113910.586669,29.937953,42.13418,793852.524183,37113910.586669,29.937953,42.13418
1;338895.451713,24407190.925915,32.554573,36.015889,338895.580097,24407204.061333,32.554575,36.0159;827276.972095,35008606.240036,29.756676,40.716397,827277.338681,35008633.929696,29.756688,40.716422;404003.284276,24094105.295478,33.000512,36.190818,404003.880142,24094171.162545,33.000531,36.190885;918210.192783,33057692.433891,30.631297,40.47619,918211.223688,33057825.00207,30.631344,40.476313;793852.950371,37113923.529964,29.937956,42.134191,793853.069617,37113937.294341,29.937961,42.134203
2;338895.831064,24407210.636047,32.554577,36.015908,338896.086133,24407226.50048,32.554577,36.015918;827277.416105,35008663.011003,29.756696,40.716449,827277.607767,35008708.003174,29.756702,40.716479;404004.101314,24094252.994136,33.000537,36.190958,404004.26221,24094356.978958,33.000539,36.191036;918211.666692,33057989.270674,30.631374,40.476451,918211.814674,33058187.933865,30.631395,40.476587;793853.421576,37113949.736808,29.937963,42.134213,793853.788554,37113966.058381,29.937966,42.134225
2;338896.39089,24407239.290759,32.554578,36.015928,338896.640605,24407262.821884,32.554576,36.015942;827279.2025,35008757.461556,29.756712,40.716516,827280.136836,35008821.402135,29.756718,40.716557;404007.966755,24094478.732085,33.000547,36.191136,404010.020782,24094622.773835,33.000543,36.191241;918218.914156,33058432.458107,30.631432,40.476769,918223.758926,33058705.377358,30.631458,40.47696;793854.382196,37113991.963326,29.937968,42.134241,793854.93708,37114019.519345,29.93797,42.134259
1;338896.864509,24407280.751413,32.554576,36.015954,338897.042711,24407295.51105,32.554575,36.015964;827280.498454,35008851.815242,29.756728,40.716583,827281.289032,35008894.016613,29.756735,40.716614;404010.891004,24094690.376171,33.000561,36.191309,404014.111294,24094793.073665,33.000565,36.191393;918225.446191,33058842.91605,30.631503,40.477086,918231.23136,33059041.877697,30.631534,40.477241;793855.030514,37114030.292187,29.937974,42.134268,793855.308547,37114050.787293,29.937975,42.134281
0;338897.505831,24407323.929654,32.554577,36.015984,338897.505831,24407323.929654,32.554577,36.015984;827283.627785,35008969.042924,29.75676,40.716674,827283.627785,35008969.042924,29.75676,40.716674;404021.242981,24094934.861504,33.000615,36.191538,404021.242981,24094934.861504,33.000615,36.191538;918243.378943,33059335.184899,30.631651,40.477509,918243.378943,33059335.184899,30.631651,40.477509;793855.78512,37114080.326848,29.937983,42.134302,793855.78512,37114080.326848,29.937983,42.134302
1;338897.777575,24407338.971786,32.554579,36.015998,338898.433919,24407363.227683,32.554577,36.016014;827284.097151,35009003.391947,29.756781,40.716713,827285.580324,35009064.648639,29.756788,40.716757;404021.713375,24095013.366558,33.000655,36.191637,404024.732557,24095171.092195,33.000652,36.191758;918243.66062,33059477.130163,30.631745,40.477687,918248.143097,33059793.388995,30.631773,40.47791;793856.136616,37114092.279231,29.93799,42.134315,793856.521603,37114114.411933,29.937993,42.134331
1;338898.66672,24407373.533147,32.554576,36.016021,338899.271184,24407395.633107,32.554573,36.016036;827285.868189,35009101.73351,29.756791,40.71678,827286.170674,35009134.672314,29.756799,40.71681;404025.232984,24095258.61414,33.000647,36.191817,404025.432484,24095314.373404,33.00066,36.191883;918248.900958,33059960.870883,30.631779,40.478015,918249.433114,33060077.320696,30.631816,40.478135;793856.59179,37114128.046696,29.937993,42.134339,793857.14245,37114144.816989,29.937995,42.134351
1;338899.508995,24407402.983684,32.554575,36.016043,338902.184368,24407431.734724,32.554578,36.016065;827286.555686,35009169.237873,29.756807,40.716835,827289.720026,35009258.103149,29.756847,40.716911;404026.141959,24095409.107085,33.000668,36.191955,404031.473075,24095615.562314,33.000742,36.192155;918250.732512,33060267.864564,30.631846,40.478267,918258.701073,33060681.344179,30.632022,40.478636;793857.226997,37114157.815549,29.937998,42.13436,793858.864672,37114197.967556,29.93801,42.134391
2;338902.366482,24407450.890347,32.554576,36.016077,338903.48755,24407463.789496,32.554575,36.016086;827290.364624,35009318.614705,29.756854,40.716953,827291.550817,35009343.826113,29.756857,40.716971;404032.852316,24095767.031942,33.000742,36.192273,404034.779122,24095826.154983,33.00074,36.192317;918261.32001,33060983.899755,30.632052,40.478853,918264.530735,33061090.833426,30.632058,40.478925;793859.248154,37114220.478317,29.938012,42.134406,793859.807379,37114231.601268,29.938014,42.134413
0;338903.788317,24407481.514678,32.554575,36.016099,338903.788317,24407481.514678,32.554575,36.016099;827291.838687,35009407.697805,29.75687,40.717018,827291.838687,35009407.697805,29.75687,40.717018;404035.262616,24095981.035086,33.000756,36.192443,404035.262616,24095981.035086,33.000756,36.192443;918265.879399,33061396.255143,30.632115,40.479154,918265.879399,33061396.255143,30.632115,40.479154;793859.978457,37114253.016827,29.938018,42.13443,793859.978457,37114253.016827,29.938018,42.13443
1;338904.389138,24407489.397655,32.554575,36.016105,338906.189521,24407525.141444,32.55458,36.016134;827293.505381,35009445.532123,29.756874,40.717041,827296.553298,35009551.297037,29.756919,40.717137;404038.63435,24096077.539579,33.000754,36.192507,404043.335717,24096351.720355,33.000822,36.192762;918271.05518,33061590.992178,30.632129,40.47927,918279.315945,33062148.631414,30.632302,40.479742;793860.480965,37114266.592521,29.938021,42.134439,793862.061257,37114321.21221,29.938036,42.134481
2;338906.745054,24407532.226899,32.554582,36.016141,338908.021269,24407546.277661,32.554581,36.016152;827299.045389,35009585.073603,29.756928,40.717168,827299.85754,35009620.09383,29.756937,40.717198;404049.0193,24096440.037178,33.000827,36.192845,404049.70881,24096524.507866,33.000835,36.192926;918288.549988,33062324.975818,30.632333,40.479893,918289.389641,33062485.628801,30.632369,40.480038;793863.159584,37114334.333625,29.93804,42.134493,793863.829413,37114355.617923,29.938042,42.134508
2;338908.074467,24407558.627346,32.55458,36.016161,338908.222436,24407575.566273,32.55458,36.016172;827299.978087,35009651.854152,29.756945,40.717224,827300.183917,35009702.710022,29.756953,40.717257;404050.062706,24096611.148415,33.000845,36.192998,404050.358865,24096729.964412,33.00085,36.193085;918290.421847,33062652.398473,30.632408,40.480172,918291.078388,33062870.929349,30.632437,40.480323;793863.969095,37114373.906042,29.938044,42.13452,793864.064712,37114391.325947,29.938047,42.134532
1;338908.439462,24407625.470716,32.554574,36.016202,338908.732611,24407647.883093,32.554572,36.016215;827300.450684,35009783.73585,29.756968,40.717318,827300.852522,35009853.594507,29.75698,40.717363;404050.921555,24096894.594065,33.000872,36.19323,404051.513897,24097044.114172,33.000887,36.19334;918291.857139,33063163.786435,30.632512,40.480568,918292.986362,33063433.380055,30.63257,40.48076;793864.275166,37114438.85159,29.938052,42.134563,793864.434644,37114481.559767,29.938056,42.134587
0;338909.142168,24407667.851043,32.554571,36.016229,338909.142168,24407667.851043,32.554571,36.016229;827301.225538,35009914.968527,29.756997,40.717411,827301.225538,35009914.968527,29.756997,40.717411;404051.919329,24097182.902217,33.000917,36.193465,404051.919329,24097182.902217,33.000917,36.193465;918293.629881,33063695.676006,30.632662,40.480987,918293.629881,33063695.676006,30.632662,40.480987;793864.694919,37114511.214122,29.938062,42.134609,793864.694919,37114511.214122,29.938062,42.134609
1;338909.242653,24407679.669296,32.55457,36.016238,338911.059013,24407709.83074,32.554564,36.016254;827301.750521,35009963.064241,29.757005,40.717445,827306.748755,35010029.972127,29.757001,40.717482;404053.08324,24097307.022193,33.000923,36.193561,404064.293144,24097422.831074,33.000904,36.193639;918295.573712,33063950.870106,30.632698,40.481166,918313.354899,33064161.801593,30.632691,40.481298;793864.978129,37114533.198427,29.938066,42.134625,793868.274399,37114561.824772,29.938065,42.134641
