Estimulo;C1;C2;C3;C4;C5
1;704055.112486,36521743.600448,28.938923,40.824547,704062.949803,36522157.825152,28.938861,40.824722;1058287.537948,38395111.421051,28.610023,41.719785,1058308.495826,38395799.527771,28.609926,41.720071;1161059.982976,37179237.114474,28.760786,41.294439,1161062.015213,37179393.862361,28.760769,41.294506;819575.255526,32708360.882035,30.236136,39.788029,819577.29685,32708519.196413,30.236111,39.788099;1122470.773302,38401063.196896,28.194627,41.328406,1122482.926474,38401493.715185,28.19457,41.328587
2;704063.319888,36522167.813716,28.938864,40.824729,704072.844875,36522588.956336,28.939086,40.825146;1058308.774329,38395817.101476,28.60993,41.720083,1058323.529269,38396540.191114,28.610213,41.720713;1161062.088744,37179401.219845,28.76077,41.294511,1161064.28917,37179550.838083,28.760854,41.29466;819577.373992,32708526.282188,30.236112,39.788104,819579.3025,32708668.940736,30.236191,39.788254;1122483.276452,38401508.71126,28.194573,41.328597,1122492.326319,38401931.939085,28.194781,41.328992
4;704090.974014,36522845.506453,28.939081,40.825312,704093.086424,36523073.746209,28.939265,40.825582;1058360.065318,38397078.954677,28.610179,41.721021,1058364.329647,38397510.506019,28.610421,41.721447;1161071.441395,37179666.909206,28.76085,41.294731,1161072.545887,37179761.379629,28.760917,41.294835;819585.695975,32708785.389202,30.23618,39.788326,819586.58242,32708876.745986,30.236242,39.78843;1122514.052447,38402280.585334,28.194761,41.329192,1122516.626938,38402537.766985,28.194934,41.329464
4;704097.605897,36523097.469829,28.939268,40.8256,704097.948038,36523101.429761,28.939269,40.825604;1058375.368188,38397560.541148,28.610424,41.721482,1058375.566906,38397566.753238,28.610426,41.721488;1161076.482591,37179779.02407,28.760917,41.294848,1161076.708708,37179781.901733,28.760918,41.29485;819590.379623,32708894.313619,30.236241,39.788443,819590.64059,32708896.951655,30.236242,39.788445;1122523.130871,38402573.788162,28.194937,41.329489,1122523.511794,38402578.300527,28.194938,41.329493
0;704099.386616,36523146.950178,28.939299,40.825657,704099.386616,36523146.950178,28.939299,40.825657;1058377.516591,38397659.479168,28.610464,41.721574,1058377.516591,38397659.479168,28.610464,41.721574;1161077.660377,37179807.311572,28.760928,41.294874,1161077.660377,37179807.311572,28.760928,41.294874;819591.618677,32708921.026213,30.236251,39.788469,819591.618677,32708921.026213,30.236251,39.788469;1122524.607987,38402636.73169,28.194966,41.32955,1122524.607987,38402636.73169,28.194966,41.32955
2;704100.021199,36523167.440815,28.939312,40.82568,704132.128852,36524409.599865,28.940033,40.826941;1058378.682972,38397705.804507,28.610486,41.721619,1058441.968275,38399899.32632,28.611408,41.723548;1161077.96355,37179820.699055,28.760935,41.294887,1161094.229151,37180281.237423,28.761189,41.295343;819591.95047,32708931.951522,30.236257,39.788482,819607.194539,32709383.052924,30.236497,39.788949;1122525.373405,38402665.160459,28.194982,41.32958,1122565.647839,38404025.700658,28.19565,41.330827
2;704135.640764,36524642.221946,28.940002,40.827048,704169.509669,36526589.029924,28.940735,40.828758;1058454.577231,38400436.352413,28.611334,41.723781,1058531.632364,38403847.51182,28.612242,41.72644;1161096.709075,37180389.476859,28.761175,41.295392,1161113.862875,37181100.569049,28.761437,41.29601;819609.498895,32709480.410324,30.236479,39.788996,819626.275159,32710167.810135,30.236718,39.789622;1122573.542421,38404366.464518,28.195606,41.330978,1122619.980561,38406481.771309,28.196288,41.332692
1;704186.921343,36526674.666402,28.940741,40.828825,704200.279622,36526782.557052,28.940766,40.828917;1058567.611741,38404048.370756,28.612238,41.726574,1058597.530298,38404223.56016,28.61228,41.726727;1161124.821555,37181136.790119,28.761439,41.29604,1161129.243451,37181180.971158,28.761453,41.296078;819635.73999,32710202.221087,30.236719,39.789652,819640.308847,32710248.884664,30.23673,39.789692;1122641.595521,38406599.472228,28.196291,41.332774,1122660.879376,38406720.947628,28.196322,41.332878
0;704203.747305,36526876.015333,28.940768,40.828977,704203.747305,36526876.015333,28.940768,40.828977;1058606.241309,38404379.867231,28.612285,41.726827,1058606.241309,38404379.867231,28.612285,41.726827;1161130.582101,37181215.315464,28.761458,41.296102,1161130.582101,37181215.315464,28.761458,41.296102;819641.492791,32710282.222094,30.236732,39.789716,819641.492791,32710282.222094,30.236732,39.789716;1122665.577816,38406815.926482,28.196327,41.332941,1122665.577816,38406815.926482,28.196327,41.332941
3;704203.866002,36526884.805585,28.940774,40.828987,704210.31344,36526982.453104,28.940811,40.829078;1058606.307826,38404396.589365,28.612294,41.726846,1058611.234636,38404544.141656,28.612346,41.72697;1161130.615445,37181221.780702,28.76146,41.296108,1161133.349758,37181253.894394,28.761473,41.296138;819641.519902,32710288.781637,30.236733,39.789722,819644.002592,32710320.852751,30.236746,39.789753;1122665.631444,38406829.274757,28.196333,41.332954,1122669.557727,38406919.251884,28.196372,41.333033
2;704210.938221,36526992.912905,28.940817,40.829092,704221.319584,36527827.116452,28.941257,40.829924;1058611.924568,38404562.24607,28.612357,41.726993,1058634.046105,38406091.66238,28.612916,41.728299;1161133.689148,37181261.011057,28.761477,41.296146,1161137.244963,37181570.203187,28.761642,41.296453;819644.263803,32710327.100295,30.236749,39.78976,819647.889684,32710624.692316,30.236902,39.790073;1122670.001616,38406933.370166,28.19638,41.33305,1122683.451603,38407892.588226,28.19679,41.333902
4;704224.470337,36528050.528809,28.94125,40.830043,704225.311299,36528181.535434,28.941338,40.830186;1058643.826718,38406525.74705,28.61289,41.728513,1058644.752842,38406761.324222,28.613004,41.728732;1161139.531214,37181660.333566,28.761639,41.2965,1161139.759317,37181708.079675,28.76167,41.296551;819649.768736,32710702.093561,30.236897,39.790116,819649.976601,32710747.426631,30.236927,39.790166;1122689.890529,38408148.150889,28.19678,41.334033,1122690.680717,38408301.049022,28.196859,41.334176
4;704226.113902,36528207.053251,28.941344,40.830207,704226.435549,36528231.368835,28.941351,40.830225;1058644.937195,38406798.615846,28.613017,41.728763,1058644.997585,38406840.308741,28.613028,41.728793;1161140.104124,37181721.374516,28.761674,41.296562,1161140.148024,37181737.003862,28.761677,41.296572;819650.252664,32710759.506196,30.23693,39.790176,819650.303042,32710773.080485,30.236932,39.790187;1122690.889012,38408323.648258,28.196868,41.334195,1122690.946843,38408351.309611,28.196876,41.334215
0;704226.501167,36528243.708712,28.941357,40.830239,704226.501167,36528243.708712,28.941357,40.830239;1058645.079373,38406855.90908,28.613041,41.728816,1058645.079373,38406855.90908,28.613041,41.728816;1161140.208328,37181742.833538,28.761681,41.29658,1161140.208328,37181742.833538,28.761681,41.29658;819650.399287,32710778.713437,30.236936,39.790193,819650.399287,32710778.713437,30.236936,39.790193;1122691.034845,38408361.802387,28.196886,41.334231,1122691.034845,38408361.802387,28.196886,41.334231
