Start_time;End_time;C1;C2;C3;C4;C5
2025-05-15 15:44:27.559268;2025-05-15 15:44:28.631281;340818.304014,24462714.662315,32.556085,36.059226;831411.547764,35203808.45297,29.798453,40.868078;412332.788972,24518448.616839,33.010424,36.526585;935365.694758,33609246.863244,30.690946,40.878314;842484.149754,38117124.812687,29.878771,42.668785
2025-05-15 15:44:28.632388;2025-05-15 15:44:29.652530;340819.544708,24462762.784459,32.556098,36.05928;831414.624276,35203973.660808,29.798532,40.86826;412337.543206,24518649.50438,33.010492,36.526824;935373.33881,33609589.940474,30.691092,40.878687;842485.020449,38117183.442582,29.878795,42.668842
2025-05-15 15:44:29.653349;2025-05-15 15:44:30.730013;340819.645933,24462778.318948,32.556096,36.059291;831415.404568,35204047.032658,29.798538,40.868306;412338.610128,24518743.878114,33.010488,36.526888;935377.04932,33609758.585678,30.691096,40.87879;842485.129706,38117210.911971,29.878797,42.668858
2025-05-15 15:44:30.731178;2025-05-15 15:44:31.767405;340820.796127,24462805.167206,32.556097,36.059314;831416.306388,35204133.661779,29.798562,40.86839;412339.500708,24518844.984949,33.010503,36.526999;935378.389248,33609923.132178,30.69114,40.878958;842485.846169,38117246.467432,29.878802,42.668888
2025-05-15 15:44:31.767990;2025-05-15 15:44:32.826127;340820.872032,24462822.612803,32.556104,36.059334;831416.394917,35204182.614365,29.798606,40.868465;412339.548946,24518909.403472,33.010546,36.527101;935378.425557,33610030.515123,30.69122,40.879116;842485.989945,38117263.876033,29.878815,42.668912
2025-05-15 15:44:32.826880;2025-05-15 15:44:33.912754;340820.988576,24462856.009481,32.556109,36.059363;831417.163245,35204394.161799,29.798638,40.868607;412340.738721,24519184.790938,33.010551,36.527299;935380.925949,33610497.532157,30.691264,40.879419;842486.586786,38117319.394234,29.878827,42.668954
2025-05-15 15:44:33.914052;2025-05-15 15:44:34.981998;340821.759032,24462879.484135,32.556118,36.059391;831419.046588,35204530.243649,29.798685,40.868736;412343.11623,24519353.730982,33.010585,36.527472;935384.203949,33610799.918116,30.691341,40.879687;842488.620823,38117367.051841,29.87884,42.668996
2025-05-15 15:44:34.982682;2025-05-15 15:44:36.024125;340822.178956,24462893.737683,32.556122,36.059405;831421.503707,35204611.419011,29.798705,40.868801;412345.959211,24519459.72095,33.010594,36.527561;935388.887805,33610994.431531,30.69137,40.87983;842488.797043,38117411.496941,29.878845,42.669024
2025-05-15 15:44:36.024767;2025-05-15 15:44:37.076582;340823.515708,24462939.758427,32.556126,36.059439;831429.960194,35204760.380305,29.798743,40.868915;412356.675948,24519649.858157,33.010619,36.527719;935404.458907,33611312.224823,30.69144,40.880073;842490.017155,38117475.248381,29.878855,42.669064
2025-05-15 15:44:37.077279;2025-05-15 15:44:38.132376;340823.648869,24462961.719909,32.556138,36.059464;831430.218525,35204882.440414,29.798804,40.869031;412357.043705,24519810.07334,33.010674,36.527876;935404.96909,33611581.872864,30.691549,40.880317;842490.199,38117519.361535,29.878871,42.669101
2025-05-15 15:44:38.133262;2025-05-15 15:44:39.203406;340824.559128,24463036.472058,32.556142,36.059519;831433.843521,35205130.824891,29.798871,40.869221;412361.288538,24520117.279864,33.010716,36.528129;935410.83421,33612055.59377,30.691677,40.880696;842490.759742,38117618.538705,29.878898,42.669178
2025-05-15 15:44:39.204696;2025-05-15 15:44:40.273008;340824.6141,24463051.12933,32.556142,36.059529;831434.433413,35205207.448346,29.798876,40.869265;412362.549535,24520214.406292,33.010711,36.52819;935412.8939,33612227.256473,30.69168,40.880793;842491.062099,38117651.820964,29.878899,42.669196
2025-05-15 15:44:40.274165;2025-05-15 15:44:41.320542;340825.261079,24463068.609583,32.556147,36.059548;831435.245715,35205280.008246,29.798909,40.869341;412364.277758,24520310.437294,33.010736,36.528293;935414.638422,33612380.00552,30.691736,40.880947;842491.379185,38117675.597497,29.878908,42.669219
2025-05-15 15:44:41.321240;2025-05-15 15:44:42.382563;340825.349075,24463086.847083,32.556154,36.059572;831435.625467,35205353.919806,29.798955,40.869447;412364.696383,24520406.670682,33.010778,36.528441;935415.560895,33612543.187368,30.691823,40.881175;842491.920104,38117714.563515,29.878922,42.669259
2025-05-15 15:44:42.383121;2025-05-15 15:44:43.431426;340825.98981,24463099.717231,32.556162,36.059589;831437.332113,35205397.577741,29.799005,40.869518;412366.591785,24520461.438721,33.010833,36.528535;935418.466861,33612625.72971,30.691921,40.881319;842492.788675,38117730.119053,29.878937,42.669282
2025-05-15 15:44:43.432650;2025-05-15 15:44:44.508360;340826.553065,24463140.25807,32.556161,36.059615;831437.78634,35205494.957845,29.799036,40.869593;412366.976539,24520577.966279,33.01086,36.528634;935418.9127,33612823.67771,30.691979,40.881472;842493.079375,38117767.094105,29.878944,42.669306
2025-05-15 15:44:44.509569;2025-05-15 15:44:45.565621;340826.938636,24463169.315043,32.556159,36.059632;831438.48363,35205623.973701,29.799045,40.869669;412368.053919,24520738.235719,33.010853,36.528741;935420.452356,33613087.184328,30.691993,40.881634;842493.420397,38117811.929706,29.878947,42.669332
2025-05-15 15:44:45.566273;2025-05-15 15:44:46.627160;340826.993776,24463192.290941,32.556161,36.05965;831438.894699,35205743.509504,29.799061,40.869744;412368.477206,24520893.05518,33.010856,36.528845;935421.141133,33613346.737749,30.692018,40.881792;842493.562186,38117857.213251,29.878951,42.669358
2025-05-15 15:44:46.627834;2025-05-15 15:44:47.698922;340827.016818,24463211.199386,32.556162,36.059665;831439.499529,35205861.239737,29.79908,40.869826;412369.162287,24521049.710162,33.010861,36.528961;935422.248175,33613612.611816,30.692049,40.881973;842493.939453,38117898.390614,29.878955,42.669384
2025-05-15 15:44:47.699533;2025-05-15 15:44:48.743016;340827.041294,24463244.6652,32.556164,36.059688;831441.091468,35205953.98876,29.799106,40.869899;412371.013827,24521179.754778,33.010876,36.529064;935425.451235,33613831.489979,30.692088,40.88213;842494.31009,38117935.117044,29.878962,42.669408
2025-05-15 15:44:48.744207;2025-05-15 15:44:49.811721;340828.032445,24463261.660971,32.55617,36.059708;831447.414192,35206013.932561,29.799138,40.869973;412379.160917,24521254.579675,33.010902,36.529163;935438.826856,33613953.628476,30.692143,40.88228;842496.714843,38117958.799365,29.878971,42.669434
2025-05-15 15:44:49.812791;2025-05-15 15:44:50.864879;340829.535574,24463303.077786,32.556172,36.059744;831451.024683,35206173.382909,29.799173,40.870111;412383.055776,24521464.415181,33.010915,36.529355;935443.70935,33614305.221533,30.692199,40.882576;842498.498546,38118031.782456,29.878981,42.669488
2025-05-15 15:44:50.866047;2025-05-15 15:44:51.926212;340829.675073,24463325.009896,32.556175,36.059762;831451.785855,35206292.721068,29.799194,40.87019;412384.071076,24521617.7951,33.010924,36.529465;935445.430946,33614570.543652,30.692234,40.882747;842499.071567,38118069.940749,29.878988,42.669512
2025-05-15 15:44:51.927047;2025-05-15 15:44:52.991436;340831.025821,24463351.602094,32.556184,36.059789;831454.194131,35206390.252587,29.799252,40.870298;412387.117667,24521739.851707,33.010981,36.529608;935450.296262,33614783.354414,30.692341,40.882972;842501.0855,38118108.45545,29.879004,42.669548
2025-05-15 15:44:52.991991;2025-05-15 15:44:54.061792;340831.315597,24463371.457632,32.556187,36.059807;831455.453812,35206502.223603,29.799275,40.87038;412388.567822,24521878.440943,33.010994,36.529721;935452.690141,33615018.685832,30.692381,40.883145;842501.957729,38118145.247902,29.87901,42.669576
