Start_time;End_time;C1;C2;C3;C4;C5
2025-04-01 11:06:28.920113;2025-04-01 11:06:30.006124;920181.096502,41122274.124167,27.900424,42.405356;2023767.87252,50360975.134759,27.769349,47.741349;3178304.999808,60788227.807478,27.782949,52.365644;3491704.145381,91457793.363433,28.761096,64.939713;1043323.324113,43692251.013204,28.369992,44.415766
2025-04-01 11:06:30.007122;2025-04-01 11:06:31.042095;920181.683799,41122280.840607,27.900426,42.405361;2023768.29971,50360986.154169,27.769351,47.741356;3178305.077225,60788230.514281,27.782949,52.365645;3491704.487461,91457799.358896,28.761097,64.939717;1043323.472941,43692254.989722,28.369994,44.415769
2025-04-01 11:06:31.043092;2025-04-01 11:06:32.101175;920181.83887,41122290.982607,27.900429,42.405369;2023768.399013,50361002.169291,27.769354,47.741367;3178305.15643,60788233.590515,27.78295,52.365647;3491704.669877,91457816.100028,28.761099,64.939726;1043323.595446,43692269.487973,28.369996,44.415778
2025-04-01 11:06:32.101175;2025-04-01 11:06:33.178545;920181.926897,41122299.270093,27.900433,42.405377;2023769.996836,50361017.0672,27.769359,47.741379;3178305.194995,60788238.204552,27.78295,52.365649;3491704.863625,91457828.664596,28.761102,64.939734;1043325.345482,43692318.384831,28.369997,44.415804
2025-04-01 11:06:33.179543;2025-04-01 11:06:34.240536;920181.952146,41122312.687054,27.900435,42.405384;2023772.860473,50361073.770222,27.769355,47.741403;3178305.213886,60788246.332289,27.78295,52.365652;3491704.893198,91457845.18402,28.761104,64.939741;1043325.369552,43692333.317979,28.369999,44.415812
2025-04-01 11:06:34.242532;2025-04-01 11:06:35.296791;920182.427627,41122318.613191,27.900435,42.405388;2023773.001073,50361085.98512,27.769356,47.741409;3178305.435168,60788250.489594,27.78295,52.365654;3491705.301028,91457848.806327,28.761104,64.939743;1043325.686704,43692336.081103,28.369999,44.415814
2025-04-01 11:06:35.297789;2025-04-01 11:06:36.370767;920182.869307,41122324.875079,27.900438,42.405393;2023773.304963,50361171.280498,27.769361,47.741449;3178305.578532,60788254.319567,27.782951,52.365656;3491705.629361,91457856.346411,28.761106,64.939749;1043325.77292,43692344.869491,28.370001,44.41582
2025-04-01 11:06:36.370767;2025-04-01 11:06:37.410665;920183.075557,41122334.151097,27.900441,42.4054;2023776.843899,50361210.537589,27.769365,47.741471;3178305.721236,60788258.620499,27.782951,52.365658;3491705.944904,91457867.388674,28.761108,64.939754;1043326.031639,43692351.757758,28.370002,44.415824
2025-04-01 11:06:37.411663;2025-04-01 11:06:38.477041;920183.281984,41122344.88095,27.900443,42.405407;2023778.31329,50361259.600108,27.769365,47.741493;3178305.994703,60788261.244626,27.782952,52.36566;3491706.181009,91457876.475959,28.761109,64.939759;1043326.433931,43692359.660396,28.370003,44.415829
2025-04-01 11:06:38.478258;2025-04-01 11:06:39.527402;920184.063659,41122358.089932,27.900443,42.405413;2023779.774253,50361276.716469,27.769365,47.741501;3178306.128963,60788265.188682,27.782952,52.365662;3491707.057992,91457890.835477,28.761109,64.939764;1043326.855526,43692368.643148,28.370003,44.415833
