Estimulo;C1;C2;C3;C4;C5
0;340175.874426,24441407.277459,32.555342,36.042608;829916.580284,35125079.131096,29.782103,40.80774;410168.931197,24399792.877449,33.002345,36.429024;931976.132273,33448805.380107,30.672398,40.762247;824411.84569,37435567.995278,29.936501,42.336738
0;340180.813641,24441499.095969,32.555337,36.042674;829925.245047,35125341.746851,29.782156,40.807937;410180.580489,24400214.260477,33.002378,36.429367;931988.990294,33449322.62855,30.672481,40.762629;824417.348675,37435693.708245,29.936514,42.336821
0;340181.994199,24441534.218795,32.555335,36.042698;829927.615161,35125449.812589,29.782161,40.808003;410184.288668,24400390.610157,33.002365,36.429483;931993.396982,33449529.955945,30.672483,40.762753;824419.021261,37435741.236198,29.936516,42.336849
0;340182.094881,24441545.591498,32.555343,36.042714;829927.972334,35125492.276586,29.782204,40.808067;410184.749208,24400458.30732,33.002426,36.429597;931993.878453,33449613.279299,30.67256,40.762881;824419.123772,37435758.042586,29.936529,42.336872
0;340182.882953,24441562.783738,32.55535,36.042737;829929.597705,35125550.210594,29.782249,40.808154;410187.000588,24400558.561796,33.002482,36.429754;931996.806799,33449740.445643,30.672638,40.76306;824420.005537,37435788.342647,29.936543,42.336905
0;340185.573157,24441603.709915,32.555351,36.04277;829932.05175,35125680.443624,29.78229,40.808268;410190.132406,24400766.480483,33.002522,36.429951;932000.190946,33449996.487486,30.672707,40.763281;824421.770836,37435849.103584,29.936553,42.336949
3;340185.644924,24441611.650828,32.555353,36.042778;829932.531299,35125721.930962,29.782299,40.8083;410191.043123,24400840.856448,33.002526,36.43001;932001.491127,33450086.406227,30.672718,40.763345;824421.970655,37435864.551862,29.936555,42.33696
0;340187.196436,24441637.583751,32.555353,36.042797;829933.782514,35125795.463596,29.782318,40.808355;410192.70658,24400959.699714,33.002542,36.430106;932002.887531,33450236.061162,30.672748,40.763454;824422.818445,37435900.731408,29.936559,42.336983
3;340187.31158,24441649.337401,32.555358,36.042811;829934.67191,35125856.019857,29.782345,40.808414;410193.868587,24401081.795777,33.002568,36.430218;932004.480804,33450382.237593,30.67279,40.763579;824423.049705,37435929.450553,29.936568,42.337006
0;340187.524487,24441672.434939,32.555361,36.04283;829935.433742,35125949.49096,29.782375,40.808487;410194.778844,24401255.169066,33.002595,36.430356;932005.688124,33450593.916725,30.672837,40.763732;824423.4839,37435967.711711,29.936576,42.337033
0;340187.668184,24441691.060482,32.555368,36.042854;829935.859551,35126007.875453,29.782417,40.808571;410195.388149,24401365.958998,33.002642,36.430509;932006.232533,33450734.102664,30.672906,40.763907;824423.622073,37435994.001095,29.93659,42.337064
3;340187.815003,24441719.097279,32.555368,36.042874;829936.655195,35126134.046367,29.782426,40.808651;410196.543564,24401580.028094,33.002626,36.430654;932007.527344,33451003.124607,30.672909,40.764069;824423.794823,37436051.474381,29.936591,42.337097
0;340187.864756,24441750.999111,32.555369,36.042895;829936.855496,35126253.056064,29.782446,40.808727;410196.893515,24401778.236205,33.002637,36.430792;932007.938428,33451251.573115,30.672939,40.764225;824423.835397,37436095.940122,29.936598,42.337124
2;340187.933402,24441761.578898,32.55537,36.042904;829936.880748,35126294.454245,29.782452,40.808756;410197.044058,24401852.129565,33.002637,36.430847;932008.105149,33451342.647324,30.672946,40.764286;824423.899893,37436112.963095,29.9366,42.337135
0;340189.327861,24441792.165952,32.555373,36.042928;829940.335617,35126451.240527,29.782483,40.808871;410202.495245,24402127.145406,33.002652,36.431064;932014.42517,33451697.838726,30.672992,40.764538;824425.923694,37436173.988544,29.936609,42.337178
1;340189.530939,24441812.531016,32.555378,36.042948;829940.897482,35126558.8431,29.78251,40.808961;410203.857002,24402322.326775,33.002669,36.431234;932015.706983,33451937.809439,30.673032,40.764729;824426.056321,37436215.403704,29.936617,42.33721
0;340192.307757,24441834.802062,32.55539,36.042977;829952.34323,35126681.25476,29.782565,40.809078;410223.340612,24402545.920551,33.002721,36.431449;932042.037225,33452229.316779,30.673113,40.764977;824432.14375,37436280.654059,29.93663,42.337257
1;340192.744749,24441848.056793,32.555394,36.042991;829953.72496,35126724.00346,29.782592,40.809132;410225.848832,24402616.638018,33.002754,36.431545;932045.23455,33452318.650027,30.67316,40.765087;824432.69343,37436296.190481,29.936641,42.337278
0;340193.38335,24441854.926244,32.555405,36.043009;829957.202428,35126768.119655,29.782641,40.809214;410230.597141,24402698.558085,33.002818,36.431695;932052.02878,33452426.134324,30.673243,40.765258;824433.796381,37436312.192988,29.936656,42.337305
0;340193.440676,24441869.304579,32.55541,36.043025;829957.468244,35126826.423767,29.782668,40.809272;410231.02388,24402793.502154,33.002849,36.431797;932052.467013,33452548.082718,30.673287,40.765373;824433.864848,37436336.161953,29.936664,42.337325
