Estimulo;C2;C3;C4
0;827301.225538,35009914.968527,29.756997,40.717411,827301.225538,35009914.968527,29.756997,40.717411;404051.919329,24097182.902217,33.000917,36.193465,404051.919329,24097182.902217,33.000917,36.193465;918293.629881,33063695.676006,30.632662,40.480987,918293.629881,33063695.676006,30.632662,40.480987
2;827301.750521,35009963.064241,29.757005,40.717445,827306.748755,35010029.972127,29.757001,40.717482;404053.08324,24097307.022193,33.000923,36.193561,404064.293144,24097422.831074,33.000904,36.193639;918295.573712,33063950.870106,30.632698,40.481166,918313.354899,33064161.801593,30.632691,40.481298
1;827308.600655,35010071.463017,29.757006,40.717515,827310.376055,35010104.068079,29.757035,40.717558;404068.172874,24097526.916316,33.000899,36.19373,404071.053944,24097612.193729,33.000955,36.193839;918319.743681,33064359.546361,30.632708,40.481459,918323.579322,33064537.967401,30.63283,40.481666
2;827311.071609,35010131.957244,29.757046,40.717586,827311.74215,35010175.694711,29.757056,40.71762;404072.519832,24097668.365206,33.000975,36.193908,404073.925895,24097767.407265,33.000986,36.193998;918326.445635,33064636.012061,30.632884,40.481788,918329.000485,33064835.364083,30.632925,40.481955
0;827312.631209,35010265.271324,29.757099,40.717717,827312.631209,35010265.271324,29.757099,40.717717;404075.112333,24097996.357541,33.001056,36.194256,404075.112333,24097996.357541,33.001056,36.194256;918331.831061,33065297.083341,30.633097,40.482424,918331.831061,33065297.083341,30.633097,40.482424
0;827317.023818,35010656.271753,29.757178,40.718019,827317.023818,35010656.271753,29.757178,40.718019;404083.685144,24098932.826049,33.001133,36.195048,404083.685144,24098932.826049,33.001133,36.195048;918346.23193,33067120.818855,30.63342,40.483841,918346.23193,33067120.818855,30.63342,40.483841
1;827317.740113,35010699.752187,29.757185,40.718049,827319.00851,35010778.573945,29.757237,40.718131;404084.890231,24099047.463323,33.001135,36.195132,404087.276115,24099213.600565,33.001246,36.195333;918348.076641,33067346.128293,30.633444,40.483993,918351.162296,33067653.600315,30.633677,40.484347
1;827319.266345,35010804.468193,29.757241,40.718149,827322.18953,35010901.118878,29.75728,40.718225;404087.989269,24099282.453312,33.001249,36.195382,404094.012194,24099547.568411,33.001315,36.195599;918352.225541,33067792.829187,30.633693,40.484437,918361.765742,33068296.221012,30.633865,40.484826
2;827323.117849,35010969.092523,29.757294,40.718272,827325.419884,35011055.500959,29.757295,40.71832;404095.411819,24099719.731015,33.001329,36.195723,404101.021896,24099919.097004,33.00131,36.195847;918363.510583,33068632.931624,30.633917,40.485048,918372.918715,33069018.126773,30.633917,40.485263
1;827325.702047,35011095.838295,29.757302,40.718348,827326.51089,35011211.23118,29.75732,40.718424;404102.088218,24100032.183972,33.001312,36.195931,404103.833605,24100263.816526,33.001333,36.19611;918375.296825,33069253.082493,30.63394,40.485419,918378.536925,33069676.67893,30.634019,40.485724
0;827327.358805,35011268.894666,29.75733,40.718466,827327.358805,35011268.894666,29.75733,40.718466;404105.594318,24100391.845187,33.001343,36.196217,404105.594318,24100391.845187,33.001343,36.196217;918381.066222,33069915.192472,30.634062,40.485908,918381.066222,33069915.192472,30.634062,40.485908
1;827330.998876,35011478.154551,29.757377,40.718632,827332.866666,35011550.127939,29.757411,40.718705;404110.898022,24100864.793774,33.001404,36.196635,404113.184318,24101025.889755,33.001471,36.196821;918390.656118,33070822.404038,30.634266,40.486646,918392.989136,33071132.625351,30.634437,40.486996
0;827333.596388,35011673.708695,29.757433,40.718793,827333.596388,35011673.708695,29.757433,40.718793;404114.962406,24101325.579019,33.001488,36.197056,404114.962406,24101325.579019,33.001488,36.197056;918397.566154,33071736.46923,30.634519,40.48743,918397.566154,33071736.46923,30.634519,40.48743
2;830223.911657,35140389.946676,29.785748,40.819994,830233.844456,35140470.106817,29.785808,40.820109;410652.925718,24425818.236397,33.004797,36.45126,410671.037035,24425954.014733,33.004865,36.451462;932564.206477,33481685.891732,30.678016,40.787629,932587.020719,33481876.398645,30.678113,40.78787
2;830235.579864,35140587.418382,29.785831,40.820191,830238.668016,35140759.271901,29.785853,40.820306;410674.238345,24426140.671737,33.004877,36.451604,410678.173206,24426425.495256,33.004879,36.451809;932592.826953,33482127.037945,30.678138,40.788038,932597.470369,33482497.687084,30.678167,40.788278
0;830241.434183,35140807.047393,29.785854,40.820335,830241.434183,35140807.047393,29.785854,40.820335;410682.108789,24426504.780299,33.004869,36.451863,410682.108789,24426504.780299,33.004869,36.451863;932601.544569,33482590.442428,30.678166,40.788336,932601.544569,33482590.442428,30.678166,40.788336
1;830249.33852,35141496.955419,29.786082,40.82093,830252.324851,35141589.421182,29.786112,40.821006;410698.146718,24427706.853481,33.005069,36.452945,410704.200501,24427853.826603,33.005096,36.453077;932624.280081,33484162.487377,30.678516,40.789601,932634.480585,33484355.026235,30.67856,40.789756
0;830260.113261,35141771.092329,29.786219,40.821221,830260.113261,35141771.092329,29.786219,40.821221;410718.672966,24428141.419261,33.005224,36.453453,410718.672966,24428141.419261,33.005224,36.453453;932653.799175,33484712.138886,30.678744,40.790186,932653.799175,33484712.138886,30.678744,40.790186
2;830260.3411,35141858.119888,29.786241,40.821289,830263.234376,35141969.702896,29.786256,40.821367;410718.749425,24428289.745971,33.005241,36.453577,410722.661791,24428491.160573,33.005242,36.453725;932653.939497,33484898.752904,30.678779,40.790328,932659.078601,33485176.367953,30.678796,40.790505
2;830263.639036,35142010.758323,29.786271,40.821408,830267.857424,35142205.153856,29.786276,40.821543;410723.349875,24428563.034267,33.005259,36.453802,410731.887196,24428875.680251,33.005221,36.45404;932660.04442,33485269.766257,30.678824,40.790596,932671.8846,33485708.225758,30.678809,40.790883
2;830268.593386,35142309.0763,29.786284,40.821608,830271.884479,35142413.244173,29.786293,40.821678;410733.09489,24429053.956101,33.00521,36.454159,410738.67349,24429231.496729,33.005197,36.454286;932673.360993,33485947.291027,30.678812,40.791023,932680.399324,33486189.839548,30.678814,40.791176
2;830272.529537,35142519.876436,29.786317,40.821762,830272.904994,35142623.966153,29.786336,40.821835;410739.951206,24429407.041209,33.00521,36.454434,410740.614879,24429581.393379,33.005217,36.454563;932681.742597,33486417.578424,30.678848,40.791348,932682.624572,33486656.886,30.678871,40.791504
0;830273.716419,35142713.065728,29.78636,40.821905,830273.716419,35142713.065728,29.78636,40.821905;410741.428927,24429727.698729,33.005239,36.454689,410741.428927,24429727.698729,33.005239,36.454689;932683.792619,33486847.518114,30.678911,40.791651,932683.792619,33486847.518114,30.678911,40.791651
1;830275.638889,35142778.005084,29.786383,40.821964,830279.836994,35142889.352813,29.786422,40.822074;410743.627198,24429831.027854,33.005263,36.454789,410750.343193,24430051.564031,33.005297,36.455004;932686.686942,33486978.631364,30.67895,40.791766,932695.581039,33487267.537307,30.679018,40.792028
0;830291.232866,35143616.763751,29.786544,40.822601,830291.232866,35143616.763751,29.786544,40.822601;410768.896122,24431257.039981,33.00533,36.455943,410768.896122,24431257.039981,33.00533,36.455943;932718.285218,33488812.03164,30.679183,40.79311,932718.285218,33488812.03164,30.679183,40.79311
2;830293.780991,35143705.468186,29.786563,40.822677,830297.479937,35143939.379506,29.786558,40.822815;410772.711026,24431395.632799,33.00534,36.456075,410779.393524,24431821.843937,33.005267,36.456345;932722.881504,33488984.379464,30.679214,40.79326,932731.865383,33489589.954674,30.679165,40.793598
1;830300.648801,35144231.379575,29.786592,40.823007,830301.367794,35144483.775645,29.786614,40.823178;410784.000849,24432301.13665,33.005261,36.456687,410785.499707,24432724.126488,33.005238,36.456995;932737.547685,33490189.685931,30.679209,40.793986,932739.89299,33490760.408774,30.679224,40.794353
0;830301.981335,35144581.354741,29.786635,40.823251,830301.981335,35144581.354741,29.786635,40.823251;410786.519323,24432871.010868,33.005254,36.457118,410786.519323,24432871.010868,33.005254,36.457118;932741.292312,33490950.383223,30.679257,40.794496,932741.292312,33490950.383223,30.679257,40.794496
1;830302.6133,35144769.811325,29.786659,40.823377,830305.086862,35144835.958113,29.786679,40.82343;410787.602243,24433200.196227,33.005247,36.457352,410790.874716,24433318.405526,33.005261,36.457448;932742.905145,33491353.173461,30.679285,40.79476,932747.912277,33491501.062323,30.679314,40.79487
2;830308.400478,35145103.059742,29.786746,40.823658,830323.757554,35145448.533496,29.786705,40.823824;410796.151081,24433752.726042,33.005311,36.457851,410821.068885,24434331.175464,33.005164,36.458155;932753.658265,33492048.147626,30.679425,40.795335,932788.810123,33492839.56696,30.679303,40.795704
0;830330.685754,35145768.131958,29.786764,40.824054,830330.685754,35145768.131958,29.786764,40.824054;410831.30341,24434838.358746,33.005199,36.458556,410831.30341,24434838.358746,33.005199,36.458556;932801.296059,33493467.699424,30.679397,40.796155,932801.296059,33493467.699424,30.679397,40.796155
1;830331.864019,35145821.89564,29.786783,40.824107,830336.876573,35145940.492765,29.78681,40.8242;410833.43919,24434926.482507,33.005214,36.458648,410840.729947,24435115.470746,33.005231,36.458809;932803.918785,33493582.745775,30.679424,40.796263,932813.64798,33493827.682452,30.679465,40.796453
