Estimulo;C1;C2;C3;C4;C5
0;1702258.753828,56774017.37058,27.472458,49.638173;2025104.40203,50397387.915625,27.781333,47.768306;3314924.404448,64205668.045151,27.706958,53.690013;9120223.710941,211362109.894862,27.449433,96.42315;1116376.138547,46332538.490737,28.223781,45.613979
2;1702259.051168,56774044.294789,27.472458,49.638186;2025104.683015,50397405.537499,27.781334,47.768315;3314924.818026,64205674.15889,27.706958,53.690016;9120223.995381,211362124.533424,27.449433,96.423154;1116376.778018,46332554.514609,28.223782,45.613988
0;1702259.753442,56774089.471447,27.472457,49.638204;2025104.692732,50397416.722492,27.781336,47.768321;3314924.969287,64205677.866122,27.706958,53.690017;9120224.042007,211362131.746947,27.449434,96.423156;1116377.22749,46332579.471713,28.223783,45.613999
2;1702260.406094,56774106.832437,27.472461,49.638216;2025105.101565,50397424.596872,27.781339,47.768329;3314925.232058,64205681.827111,27.706958,53.690019;9120224.582396,211362139.513196,27.449434,96.423159;1116377.684476,46332590.901667,28.223788,45.614009
0;1702261.361027,56774117.507535,27.472463,49.638222;2025105.346543,50397435.087387,27.781341,47.768334;3314925.300762,64205686.116178,27.706958,53.690021;9120224.802308,211362148.03372,27.449435,96.423161;1116378.201192,46332603.238091,28.223789,45.614015
0;1702261.782432,56774133.403305,27.472465,49.638231;2025105.484306,50397441.578002,27.781343,47.768339;3314925.342642,64205687.452592,27.706959,53.690022;9120225.037996,211362152.141286,27.449435,96.423163;1116378.739964,46332611.152305,28.223791,45.614021
2;1702262.401448,56774144.218746,27.472467,49.638237;2025105.565005,50397448.222611,27.781346,47.768345;3314925.446413,64205690.194766,27.706959,53.690024;9120225.057982,211362158.124688,27.449436,96.423166;1116378.815825,46332620.9761,28.223794,45.614028
0;1702265.094145,56774194.220495,27.472478,49.638268;2025105.707825,50397466.944187,27.781355,47.76836;3314925.53548,64205695.744724,27.70696,53.690026;9120225.124965,211362173.777805,27.449438,96.423172;1116379.052471,46332657.151249,28.223802,45.614049
1;1702265.239114,56774201.151375,27.472481,49.638274;2025106.078761,50397473.715897,27.781358,47.768367;3314925.649504,64205698.377069,27.70696,53.690027;9120225.275953,211362179.471031,27.449438,96.423174;1116379.131779,46332662.526763,28.223805,45.614055
0;1702267.913085,56774679.71867,27.472878,49.638845;2025106.914741,50397770.947294,27.781653,47.768763;3314925.659542,64205708.780624,27.706965,53.690036;9120226.324799,211362373.421049,27.449493,96.423314;1116380.413546,46332908.508024,28.224127,45.61445
1;1702268.056633,56774702.998037,27.472879,49.638855;2025107.265727,50397789.084374,27.781655,47.768772;3314925.72637,64205711.42726,27.706965,53.690037;9120226.392419,211362379.406526,27.449493,96.423316;1116380.479719,46332913.483703,28.224129,45.614454
0;1702268.325696,56774740.416479,27.472885,49.638878;2025108.307694,50397817.591511,27.78166,47.76879;3314925.878782,64205713.912009,27.706965,53.690039;9120226.421433,211362398.169061,27.449494,96.423322;1116380.570384,46332940.285149,28.224134,45.614471
0;1702270.768817,56774769.583441,27.472885,49.638892;2025108.663336,50397827.717579,27.781661,47.768796;3314925.993713,64205715.930338,27.706966,53.69004;9120226.93237,211362407.983655,27.449494,96.423325;1116381.437833,46332953.073643,28.224135,45.614478
0;3272491.821643,81846072.507322,27.200162,59.981683;2114210.770078,52297496.048407,27.738839,48.600704;7077088.729726,153656241.938689,26.821101,82.845301;10761189.75053,242298026.026425,27.282624,103.168186;6272114.246604,165470982.345961,27.335074,86.323654
0;3272495.645933,81846098.414315,27.200163,59.981693;2114215.061422,52297520.107091,27.738843,48.60072;7077091.350532,153656255.39608,26.8211,82.845305;10761189.75053,242298026.026486,27.282624,103.168186;6272227.967428,165472998.627619,27.335087,86.324189
0;3272495.787595,81846104.607953,27.200164,59.981697;2114215.208884,52297531.561828,27.738846,48.600727;7077091.633156,153656262.586805,26.821101,82.845307;10761189.750531,242298026.026533,27.282624,103.168186;6272242.056166,165473321.010971,27.335089,86.324281
0;3272495.885563,81846112.282182,27.200166,59.981701;2114215.396195,52297544.990245,27.738853,48.600738;7077091.661065,153656267.404119,26.821101,82.845308;10761189.750532,242298026.026603,27.282624,103.168186;6272247.022458,165473594.251954,27.335106,86.324374
0;3272495.972897,81846126.678194,27.200171,59.981714;2114215.733048,52297576.438805,27.73887,48.600772;7077091.725413,153656276.604449,26.821101,82.845311;10761189.750533,242298026.02663,27.282624,103.168186;6272249.014929,165473779.489304,27.335153,86.324519
0;3272496.129332,81846141.637611,27.200175,59.981722;2114216.014026,52297611.71156,27.73888,48.600797;7077091.837044,153656283.301331,26.821101,82.845313;10761189.750533,242298026.026667,27.282624,103.168186;6272253.02801,165473970.089415,27.335166,86.324592
0;3272496.23093,81846146.055461,27.200175,59.981725;2114216.12996,52297619.815271,27.738882,48.600803;7077092.084882,153656288.412594,26.821101,82.845314;10761189.750534,242298026.026742,27.282624,103.168186;6272257.900424,165474112.35251,27.335169,86.324629
0;3273268.042256,81877583.485942,27.2059,59.999403;2114235.609445,52297847.785478,27.738941,48.600999;7077092.33046,153656295.378836,26.821101,82.845316;10761189.750534,242298026.026793,27.282624,103.168186;6272258.836197,165474249.373803,27.335176,86.324671
0;3274040.113712,81901743.471293,27.207913,60.010208;2114345.011596,52299657.107257,27.738885,48.601785;7077092.785434,153656304.016058,26.821101,82.845318;10767812.060898,242874045.247496,27.308514,103.344004;6272261.584282,165474441.567746,27.335184,86.32473
0;3276652.147221,81955764.845317,27.207088,60.02772;2119475.262908,52415233.883136,27.738117,48.654705;7077115.085507,153656654.834178,26.82109,82.845391;10816939.76207,243942953.451109,27.322835,103.593011;6272264.21578,165474634.362557,27.335202,86.324803
0;3319020.213444,82650754.099403,27.203209,60.292795;2124420.938365,52561154.245833,27.743059,48.726992;7678646.388241,165603158.802928,27.114544,86.394197;10908289.969101,246070808.065855,27.359564,104.091265;6272290.785799,165474881.203926,27.335218,86.324897
0;3319021.838653,82653569.910151,27.203112,60.293615;2129634.988078,52940798.091536,27.73138,48.868138;7743205.597103,167743753.576365,27.120336,86.932534;10910010.287491,246638834.477965,27.376704,104.233276;6272370.340943,165475903.266144,27.335178,86.325116
0;3319021.951169,82653583.258079,27.203115,60.293623;2129646.182999,52940898.005192,27.731408,48.868223;7743205.885171,167743760.616783,27.120337,86.932536;10916551.283781,246746695.330809,27.378714,104.263467;6272373.311763,165476000.697137,27.335186,86.325151
0;3319021.960427,82653591.024651,27.203118,60.293629;2129647.783826,52940932.50838,27.731417,48.868247;7743206.106644,167743765.711194,27.120337,86.932538;10916601.515822,246746819.706411,27.378716,104.263511;6272379.687599,165476051.768547,27.335192,86.325173
0;3319022.475993,82653601.464613,27.203119,60.293634;2129648.364626,52940963.28606,27.731419,48.868263;7743206.7601,167743773.887031,27.120336,86.932539;10916602.501431,246746840.388951,27.378717,104.263517;6272380.186929,165476080.560716,27.335194,86.325185
0;3319022.755992,82653625.375571,27.203122,60.293645;2129648.595725,52941021.612329,27.731425,48.868292;7743206.927534,167743782.827323,27.120337,86.932542;10916603.671585,246746904.185871,27.378719,104.263533;6272381.980699,165476150.286952,27.335198,86.325208
0;3319022.860866,82653634.09381,27.203126,60.293652;2129649.462586,52941063.718443,27.731434,48.868318;7743206.981348,167743785.719044,27.120337,86.932543;10916607.044408,246746964.402193,27.378721,104.263548;6272382.916109,165476192.151673,27.335203,86.325226
0;3319022.891155,82653641.159974,27.203128,60.293657;2129649.739443,52941080.715823,27.73144,48.868331;7743207.015676,167743788.91726,27.120337,86.932544;10916609.505141,246747028.766898,27.378723,104.263567;6272384.03029,165476231.039733,27.335206,86.32524
0;3319023.036931,82653651.061407,27.203132,60.293665;2129650.549742,52941097.761435,27.731449,48.868348;7743207.185434,167743793.398696,27.120337,86.932545;10916661.781514,246747849.126728,27.378714,104.263721;6272384.579986,165476273.289648,27.335211,86.325258
